! 11Li range in H8C10O4
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	0.137773  	0.001000	0.137773  	0.001000	0.10482   	0.001000	0.10482   	0.001000	0.104849  	0.001000	0         	0.001000	0         	0.001000	0.00169096	0.001000	0.00277557	0.001000	0.00139806	
0.002000	0.285614  	0.002000	0.275546  	0.002000	0.20964   	0.002000	0.20964   	0.002000	0.209699  	0.002000	0.006792  	0.002000	0.006792  	0.002000	0.00495204	0.002000	0.00785284	0.002000	0.00427566	
0.005000	0.662383  	0.005000	0.626657  	0.005000	0.484445  	0.005000	0.484445  	0.005000	0.484536  	0.005000	0.00814633	0.005000	0.00814633	0.005000	0.0180014 	0.005000	0.0275198 	0.005000	0.016179  	
0.008000	0.964383  	0.008000	0.90809   	0.008000	0.717656  	0.008000	0.717656  	0.008000	0.71776   	0.008000	0.00820069	0.008000	0.00820069	0.008000	0.0329717 	0.008000	0.0495771 	0.008000	0.0301245 	
0.010000	1.13904   	0.010000	1.07085   	0.010000	0.857923  	0.010000	0.857923  	0.010000	0.858032  	0.010000	0.00838646	0.010000	0.00838646	0.010000	0.0434098 	0.010000	0.0647861 	0.010000	0.0399436 	
0.015000	1.51634   	0.015000	1.42246   	0.015000	1.17289   	0.015000	1.17289   	0.015000	1.17301   	0.015000	0.00931061	0.015000	0.00931061	0.015000	0.0702222 	0.015000	0.103441  	0.015000	0.0654327 	
0.020000	1.84871   	0.020000	1.73219   	0.020000	1.45218   	0.020000	1.45218   	0.020000	1.4523    	0.020000	0.0105059 	0.020000	0.0105059 	0.020000	0.0971864 	0.020000	0.141783  	0.020000	0.0908289 	
0.025000	2.14952   	0.025000	2.01251   	0.025000	1.7044    	0.025000	1.7044    	0.025000	1.70452   	0.025000	0.0116923 	0.025000	0.0116923 	0.025000	0.1207    	0.025000	0.174931  	0.025000	0.109653  	
0.030000	2.42353   	0.030000	2.26787   	0.030000	1.93626   	0.030000	1.93626   	0.030000	1.93638   	0.030000	0.012794  	0.030000	0.012794  	0.030000	0.138487  	0.030000	0.199864  	0.030000	0.124116  	
0.035000	2.67717   	0.035000	2.50423   	0.035000	2.15262   	0.035000	2.15262   	0.035000	2.15274   	0.035000	0.0138044 	0.035000	0.0138044 	0.035000	0.152675  	0.035000	0.219651  	0.035000	0.135809  	
0.040000	2.91458   	0.040000	2.72548   	0.040000	2.35621   	0.040000	2.35621   	0.040000	2.35634   	0.040000	0.0147248 	0.040000	0.0147248 	0.040000	0.164498  	0.040000	0.236065  	0.040000	0.145626  	
