! 11Li range in H10C4
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	9939.28   	0.001000	9939.28   	0.001000	7264.02   	0.001000	7264.02   	0.001000	7265.33   	0.001000	0         	0.001000	0         	0.001000	97.5901   	0.001000	169.031   	0.001000	90.148    	
0.002000	19878.6   	0.002000	19878.6   	0.002000	14528     	0.002000	14528     	0.002000	14530.7   	0.002000	480.793   	0.002000	480.793   	0.002000	285.785   	0.002000	478.201   	0.002000	276.889   	
0.005000	45665.7   	0.005000	45665.7   	0.005000	33542.2   	0.005000	33542.2   	0.005000	33546.3   	0.005000	576.561   	0.005000	576.561   	0.005000	1037.29   	0.005000	1673.32   	0.005000	1050.25   	
0.008000	66515.5   	0.008000	66515.5   	0.008000	49615.5   	0.008000	49615.5   	0.008000	49620.2   	0.008000	580.34    	0.008000	580.34    	0.008000	1895.17   	0.008000	3007.25   	0.008000	1953.58   	
0.010000	78606.5   	0.010000	78606.5   	0.010000	59259.1   	0.010000	59259.1   	0.010000	59264     	0.010000	593.189   	0.010000	593.189   	0.010000	2491.38   	0.010000	3924.06   	0.010000	2588.15   	
0.015000	104732    	0.015000	104732    	0.015000	80915.4   	0.015000	80915.4   	0.015000	80920.6   	0.015000	657.31    	0.015000	657.31    	0.015000	4012.83   	0.015000	6236.17   	0.015000	4236.3    	
0.020000	127636    	0.020000	127636    	0.020000	100323    	0.020000	100323    	0.020000	100328    	0.020000	742.898   	0.020000	742.898   	0.020000	5493.09   	0.020000	8434.04   	0.020000	5533.22   	
0.025000	148269    	0.025000	148269    	0.025000	118038    	0.025000	118038    	0.025000	118043    	0.025000	830.307   	0.025000	830.307   	0.025000	6719.17   	0.025000	10234.1   	0.025000	6477.91   	
0.030000	166990    	0.030000	166990    	0.030000	134332    	0.030000	134332    	0.030000	134337    	0.030000	911.279   	0.030000	911.279   	0.030000	7641.91   	0.030000	11583     	0.030000	7217.97   	
0.035000	184258    	0.035000	184258    	0.035000	149426    	0.035000	149426    	0.035000	149432    	0.035000	983.813   	0.035000	983.813   	0.035000	8379.91   	0.035000	12657.4   	0.035000	7821.66   	
0.040000	200367    	0.040000	200367    	0.040000	163549    	0.040000	163549    	0.040000	163554    	0.040000	1048.77   	0.040000	1048.77   	0.040000	8994.63   	0.040000	13548.6   	0.040000	8331.12   	
0.045000	215530    	0.045000	215530    	0.045000	176871    	0.045000	176871    	0.045000	176876    	0.045000	1107.28   	0.045000	1107.28   	0.045000	9519.13   	0.045000	14306.7   	0.045000	8770.21   	
0.050000	229909    	0.050000	229909    	0.050000	189526    	0.050000	189526    	0.050000	189531    	0.050000	1160.42   	0.050000	1157.71   	0.050000	9978.83   	0.050000	14968.6   	0.050000	9157.36   	
0.055000	243579    	0.055000	243579    	0.055000	201617    	0.055000	201617    	0.055000	201623    	0.055000	1209.09   	0.055000	1201.89   	0.055000	10381.8   	0.055000	15547.2   	0.055000	9499.36   	
0.060000	256596    	0.060000	256596    	0.060000	213231    	0.060000	213231    	0.060000	213237    	0.060000	1254.07   	0.060000	1242.27   	0.060000	10745.4   	0.060000	16067.5   	0.060000	9809.6    	
0.070000	281030    	0.070000	281030    	0.070000	235289    	0.070000	235289    	0.070000	235294    	0.070000	1335.26   	0.070000	1314.41   	0.070000	11380.1   	0.070000	16971.9   	0.070000	10355.3   	
0.080000	303795    	0.080000	303795    	0.080000	256125    	0.080000	256125    	0.080000	256131    	0.080000	1407.75   	0.080000	1378.27   	0.080000	11925.9   	0.080000	17745.1   	0.080000	10829.4   	
0.090000	325308    	0.090000	325308    	0.090000	276046    	0.090000	276046    	0.090000	276051    	0.090000	1474.06   	0.090000	1436.43   	0.090000	12399.3   	0.090000	18411.7   	0.090000	11243.6   	
0.100000	345866    	0.100000	345866    	0.100000	295276    	0.100000	295276    	0.100000	295281    	0.100000	1536      	0.100000	1490.37   	0.100000	12829.2   	0.100000	19013.9   	0.100000	11623.4   	
0.120000	384672    	0.120000	384672    	0.120000	332312    	0.120000	332312    	0.120000	332317    	0.120000	1651.55   	0.120000	1590.14   	0.120000	13586.5   	0.120000	20065.8   	0.120000	12299     	
0.140000	421320    	0.140000	421320    	0.140000	368203    	0.140000	368203    	0.140000	368209    	0.140000	1761.27   	0.140000	1684.09   	0.140000	14253.1   	0.140000	20981.9   	0.140000	12902.6   	
0.160000	456625    	0.160000	456625    	0.160000	403567    	0.160000	403567    	0.160000	403573    	0.160000	1869.21   	0.160000	1775.99   	0.160000	14858.5   	0.160000	21805.3   	0.160000	13458.5   	
0.180000	491203    	0.180000	491203    	0.180000	438814    	0.180000	438814    	0.180000	438819    	0.180000	1977.98   	0.180000	1868.17   	0.180000	15429.5   	0.180000	22574.5   	0.180000	13988.2   	
0.200000	525400    	0.200000	525400    	0.200000	474225    	0.200000	474225    	0.200000	474230    	0.200000	2089.29   	0.200000	1962.16   	0.200000	15972.7   	0.200000	23299.9   	0.200000	14497.8   	
0.250000	611032    	0.250000	611032    	0.250000	564623    	0.250000	564623    	0.250000	564629    	0.250000	2385.44   	0.250000	2210.84   	0.250000	17271.6   	0.250000	25010.4   	0.250000	15734.8   	
0.300000	697450    	0.300000	697450    	0.300000	658689    	0.300000	658689    	0.300000	658695    	0.300000	2711.36   	0.300000	2484.46   	0.300000	18528.1   	0.300000	26636.6   	0.300000	16953.4   	
0.350000	785751    	0.350000	785751    	0.350000	756608    	0.350000	756608    	0.350000	756614    	0.350000	3064.42   	0.350000	2798.71   	0.350000	19764     	0.350000	28214.3   	0.350000	18167.5   	
0.400000	876718    	0.400000	876718    	0.400000	858838    	0.400000	858838    	0.400000	858844    	0.400000	3446.55   	0.400000	3152.16   	0.400000	21002.4   	0.400000	29776.2   	0.400000	19397.6   	
0.450000	970893    	0.450000	970893    	0.450000	965684    	0.450000	965684    	0.450000	965689    	0.450000	3858.98   	0.450000	3539.29   	0.450000	22252.3   	0.450000	31336.6   	0.450000	20650     	
0.500000	1.06845e+06	0.500000	1.06845e+06	0.500000	1.07719e+06	0.500000	1.07719e+06	0.500000	1.0772e+06	0.500000	4300.65   	0.500000	3954.89   	0.500000	23524.1   	0.500000	32910.2   	0.500000	21933.2   	
