! 11Li range in CF4
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	1158.24   	0.001000	1158.24   	0.001000	980.922   	0.001000	980.922   	0.001000	981.389   	0.001000	0         	0.001000	0         	0.001000	20.881    	0.001000	32.7823   	0.001000	15.7653   	
0.002000	2316.47   	0.002000	2316.47   	0.002000	1961.84   	0.002000	1961.84   	0.002000	1962.78   	0.002000	98.4959   	0.002000	98.4959   	0.002000	61.1565   	0.002000	92.7663   	0.002000	47.9512   	
0.005000	5365.42   	0.005000	5365.42   	0.005000	4550.69   	0.005000	4550.69   	0.005000	4552.17   	0.005000	118.569   	0.005000	118.569   	0.005000	223.742   	0.005000	327.115   	0.005000	181.729   	
0.008000	7865.91   	0.008000	7865.91   	0.008000	6726.54   	0.008000	6726.54   	0.008000	6728.22   	0.008000	119.341   	0.008000	119.341   	0.008000	408.255   	0.008000	587.424   	0.008000	336.215   	
0.010000	9324.2    	0.010000	9324.2    	0.010000	8020.93   	0.010000	8020.93   	0.010000	8022.7    	0.010000	121.917   	0.010000	121.917   	0.010000	535.29    	0.010000	764.799   	0.010000	443.422   	
0.015000	12487.1   	0.015000	12487.1   	0.015000	10886.1   	0.015000	10886.1   	0.015000	10888     	0.015000	134.222   	0.015000	134.222   	0.015000	856.506   	0.015000	1209.25   	0.015000	716.33    	
0.020000	15213.9   	0.020000	15213.9   	0.020000	13380.3   	0.020000	13380.3   	0.020000	13382.2   	0.020000	149.499   	0.020000	149.499   	0.020000	1176.76   	0.020000	1645.81   	0.020000	990.202   	
0.025000	17558.2   	0.025000	17558.2   	0.025000	15603     	0.025000	15603     	0.025000	15604.9   	0.025000	164.26    	0.025000	164.26    	0.025000	1478.1    	0.025000	2029.39   	0.025000	1250.29   	
0.030000	19611.7   	0.030000	19611.7   	0.030000	17639.4   	0.030000	17639.4   	0.030000	17641.4   	0.030000	177.995   	0.030000	177.995   	0.030000	1711.3    	0.030000	2310.18   	0.030000	1449.57   	
0.035000	21475.2   	0.035000	21475.2   	0.035000	19550.6   	0.035000	19550.6   	0.035000	19552.6   	0.035000	190.905   	0.035000	190.905   	0.035000	1896.07   	0.035000	2528.23   	0.035000	1607.92   	
0.040000	23210.1   	0.040000	23210.1   	0.040000	21355.4   	0.040000	21355.4   	0.040000	21357.4   	0.040000	202.85    	0.040000	202.85    	0.040000	2049.67   	0.040000	2708.64   	0.040000	1738.85   	
0.045000	24849.5   	0.045000	24849.5   	0.045000	23069.1   	0.045000	23069.1   	0.045000	23071.1   	0.045000	213.849   	0.045000	213.849   	0.045000	2181.04   	0.045000	2863.07   	0.045000	1852.34   	
0.050000	26413.1   	0.050000	26413.1   	0.050000	24703.8   	0.050000	24703.8   	0.050000	24705.8   	0.050000	223.973   	0.050000	223.362   	0.050000	2295.58   	0.050000	2998.34   	0.050000	1950.53   	
0.055000	27911.6   	0.055000	27911.6   	0.055000	26269.3   	0.055000	26269.3   	0.055000	26271.4   	0.055000	233.317   	0.055000	231.688   	0.055000	2396.13   	0.055000	3117.52   	0.055000	2038.25   	
0.060000	29352.4   	0.060000	29352.4   	0.060000	27774.1   	0.060000	27774.1   	0.060000	27776.2   	0.060000	241.97    	0.060000	239.302   	0.060000	2486.65   	0.060000	3225.32   	0.060000	2117.12   	
0.070000	32088.1   	0.070000	32088.1   	0.070000	30628.2   	0.070000	30628.2   	0.070000	30630.3   	0.070000	257.532   	0.070000	252.811   	0.070000	2643.84   	0.070000	3412.9    	0.070000	2253.76   	
0.080000	34664.3   	0.080000	34664.3   	0.080000	33310.4   	0.080000	33310.4   	0.080000	33312.5   	0.080000	271.221   	0.080000	264.547   	0.080000	2777.8    	0.080000	3572.92   	0.080000	2369.84   	
0.090000	37113.8   	0.090000	37113.8   	0.090000	35854     	0.090000	35854     	0.090000	35856.1   	0.090000	283.464   	0.090000	274.956   	0.090000	2892.28   	0.090000	3710.61   	0.090000	2471.54   	
0.100000	39461.5   	0.100000	39461.5   	0.100000	38284.5   	0.100000	38284.5   	0.100000	38286.5   	0.100000	294.577   	0.100000	284.351   	0.100000	2995.11   	0.100000	3833.51   	0.100000	2561.18   	
0.120000	43904.7   	0.120000	43904.7   	0.120000	42881.8   	0.120000	42881.8   	0.120000	42883.9   	0.120000	314.322   	0.120000	300.945   	0.120000	3170.99   	0.120000	4043.31   	0.120000	2715.95   	
0.140000	48078.9   	0.140000	48078.9   	0.140000	47219.7   	0.140000	47219.7   	0.140000	47221.7   	0.140000	331.78    	0.140000	315.538   	0.140000	3320.57   	0.140000	4220.11   	0.140000	2848.45   	
0.160000	52063.9   	0.160000	52063.9   	0.160000	51376.8   	0.160000	51376.8   	0.160000	51378.9   	0.160000	347.766   	0.160000	328.845   	0.160000	3451.65   	0.160000	4373.4    	0.160000	2966.3    	
0.180000	55917.9   	0.180000	55917.9   	0.180000	55408.4   	0.180000	55408.4   	0.180000	55410.5   	0.180000	362.803   	0.180000	341.321   	0.180000	3570.63   	0.180000	4510.77   	0.180000	3072.34   	
0.200000	59680.1   	0.200000	59680.1   	0.200000	59354.5   	0.200000	59354.5   	0.200000	59356.6   	0.200000	377.247   	0.200000	353.268   	0.200000	3680.3    	0.200000	4635.42   	0.200000	3171.92   	
0.250000	68843.7   	0.250000	68843.7   	0.250000	69024.8   	0.250000	69024.8   	0.250000	69026.9   	0.250000	412.249   	0.250000	382.074   	0.250000	3929.31   	0.250000	4911.7    	0.250000	3396.94   	
0.300000	77729.2   	0.300000	77729.2   	0.300000	78616.8   	0.300000	78616.8   	0.300000	78618.9   	0.300000	447.18    	0.300000	410.621   	0.300000	4156.06   	0.300000	5154.57   	0.300000	3604.69   	
0.350000	86466.4   	0.350000	86466.4   	0.350000	88239.1   	0.350000	88239.1   	0.350000	88241.2   	0.350000	482.661   	0.350000	439.467   	0.350000	4368.81   	0.350000	5375.88   	0.350000	3800.43   	
0.400000	95187.6   	0.400000	95187.6   	0.400000	98012.2   	0.400000	98012.2   	0.400000	98014.3   	0.400000	519.648   	0.400000	469.365   	0.400000	4574.75   	0.400000	5583.9    	0.400000	3990.05   	
0.450000	103994    	0.450000	103994    	0.450000	108023    	0.450000	108023    	0.450000	108025    	0.450000	558.848   	0.450000	500.855   	0.450000	4769.02   	0.450000	5784.28   	0.450000	4178.65   	
0.500000	112949    	0.500000	112949    	0.500000	118321    	0.500000	118321    	0.500000	118323    	0.500000	600.608   	0.500000	534.184   	0.500000	4959.71   	0.500000	5979.37   	0.500000	4366.42   	
0.600000	131397    	0.600000	131397    	0.600000	139849    	0.600000	139849    	0.600000	139851    	0.600000	692.061   	0.600000	607.395   	0.600000	5338.85   	0.600000	6361.71   	0.600000	4746.07   	
0.700000	150848    	0.700000	150848    	0.700000	162668    	0.700000	162668    	0.700000	162670    	0.700000	793.855   	0.700000	693.063   	0.700000	5720.36   	0.700000	6748.19   	0.700000	5131.84   	
