! 2H range in H190C5F20
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	240.216   	0.001000	240.216   	0.001000	221.507   	0.001000	221.507   	0.001000	221.551   	0.001000	0         	0.001000	0         	0.001000	2.35784   	0.001000	5.43856   	0.001000	2.37177   	
0.002000	480.432   	0.002000	480.432   	0.002000	443.015   	0.002000	443.015   	0.002000	443.102   	0.002000	16.2268   	0.002000	16.2268   	0.002000	6.90455   	0.002000	15.3865   	0.002000	7.32954   	
0.005000	1041.07   	0.005000	1041.07   	0.005000	991.562   	0.005000	991.562   	0.005000	991.694   	0.005000	19.0153   	0.005000	19.0153   	0.005000	23.8072   	0.005000	51.3326   	0.005000	26.4414   	
0.008000	1493.32   	0.008000	1493.32   	0.008000	1456.11   	0.008000	1456.11   	0.008000	1456.26   	0.008000	19.1262   	0.008000	19.1262   	0.008000	43.062    	0.008000	91.3103   	0.008000	48.836    	
0.010000	1762.04   	0.010000	1762.04   	0.010000	1739.04   	0.010000	1739.04   	0.010000	1739.19   	0.010000	19.5168   	0.010000	19.5168   	0.010000	56.6419   	0.010000	119.173   	0.010000	64.8393   	
0.015000	2330.3    	0.015000	2330.3    	0.015000	2385.67   	0.015000	2385.67   	0.015000	2385.83   	0.015000	21.5762   	0.015000	21.5762   	0.015000	92.2809   	0.015000	191.494   	0.015000	107.338   	
0.020000	2793.81   	0.020000	2793.81   	0.020000	2972.74   	0.020000	2972.74   	0.020000	2972.91   	0.020000	24.4302   	0.020000	24.4302   	0.020000	127.64    	0.020000	261.228   	0.020000	152.419   	
0.025000	3196.81   	0.025000	3196.81   	0.025000	3518.5    	0.025000	3518.5    	0.025000	3518.68   	0.025000	27.4938   	0.025000	27.4938   	0.025000	159.151   	0.025000	319.709   	0.025000	195.007   	
0.030000	3561.86   	0.030000	3561.86   	0.030000	4030.38   	0.030000	4030.38   	0.030000	4030.56   	0.030000	30.4765   	0.030000	30.4765   	0.030000	188.473   	0.030000	371.801   	0.030000	227.925   	
0.035000	3902.06   	0.035000	3902.06   	0.035000	4514.07   	0.035000	4514.07   	0.035000	4514.25   	0.035000	33.2815   	0.035000	33.2815   	0.035000	216.381   	0.035000	419.764   	0.035000	254.749   	
0.040000	4225.59   	0.040000	4225.59   	0.040000	4976.21   	0.040000	4976.21   	0.040000	4976.39   	0.040000	35.9245   	0.040000	35.9245   	0.040000	243.261   	0.040000	464.752   	0.040000	277.654   	
0.045000	4537.86   	0.045000	4537.86   	0.045000	5421.55   	0.045000	5421.55   	0.045000	5421.73   	0.045000	38.4301   	0.045000	38.4301   	0.045000	268.853   	0.045000	506.843   	0.045000	297.99    	
0.050000	4842.65   	0.050000	4842.65   	0.050000	5853.64   	0.050000	5853.64   	0.050000	5853.82   	0.050000	40.8229   	0.050000	42.0776   	0.050000	291.263   	0.050000	543.765   	0.050000	316.052   	
0.055000	5142.71   	0.055000	5142.71   	0.055000	6275.21   	0.055000	6275.21   	0.055000	6275.4    	0.055000	43.1247   	0.055000	46.0884   	0.055000	311.36    	0.055000	576.901   	0.055000	332.596   	
0.060000	5440.11   	0.060000	5440.11   	0.060000	6688.45   	0.060000	6688.45   	0.060000	6688.64   	0.060000	45.3544   	0.060000	49.7884   	0.060000	329.637   	0.060000	607.022   	0.060000	347.942   	
0.070000	6033.11   	0.070000	6033.11   	0.070000	7496.65   	0.070000	7496.65   	0.070000	7496.83   	0.070000	49.6585   	0.070000	56.5728   	0.070000	362.126   	0.070000	660.457   	0.070000	375.833   	
0.080000	6631.13   	0.080000	6631.13   	0.080000	8289.01   	0.080000	8289.01   	0.080000	8289.2    	0.080000	53.8359   	0.080000	62.8562   	0.080000	390.89    	0.080000	707.581   	0.080000	401.092   	
0.090000	7240.5    	0.090000	7240.5    	0.090000	9073.26   	0.090000	9073.26   	0.090000	9073.45   	0.090000	57.9608   	0.090000	68.8748   	0.090000	417.319   	0.090000	750.715   	0.090000	424.352   	
0.100000	7865.57   	0.100000	7865.57   	0.100000	9855.17   	0.100000	9855.17   	0.100000	9855.36   	0.100000	62.0889   	0.100000	74.7777   	0.100000	441.704   	0.100000	790.296   	0.100000	446.445   	
0.120000	9173.99   	0.120000	9173.99   	0.120000	11428.7   	0.120000	11428.7   	0.120000	11428.9   	0.120000	70.5208   	0.120000	86.6187   	0.120000	487.069   	0.120000	863.473   	0.120000	487.583   	
0.140000	10571.2   	0.140000	10571.2   	0.140000	13035.4   	0.140000	13035.4   	0.140000	13035.6   	0.140000	79.3879   	0.140000	98.9228   	0.140000	529.584   	0.140000	931.424   	0.140000	526.804   	
0.160000	12064.2   	0.160000	12064.2   	0.160000	14692     	0.160000	14692     	0.160000	14692.2   	0.160000	88.8642   	0.160000	111.524   	0.160000	570.663   	0.160000	996.518   	0.160000	565.105   	
0.180000	13655.7   	0.180000	13655.7   	0.180000	16410.4   	0.180000	16410.4   	0.180000	16410.6   	0.180000	99.0736   	0.180000	124.32    	0.180000	610.964   	0.180000	1059.87   	0.180000	602.981   	
0.200000	15346.4   	0.200000	15346.4   	0.200000	18198.9   	0.200000	18198.9   	0.200000	18199.1   	0.200000	110.106   	0.200000	137.511   	0.200000	651.319   	0.200000	1122.83   	0.200000	641.142   	
0.250000	20002.4   	0.250000	20002.4   	0.250000	23012.6   	0.250000	23012.6   	0.250000	23012.8   	0.250000	141.664   	0.250000	172.963   	0.250000	753.556   	0.250000	1280.42   	0.250000	739.185   	
0.300000	25255.4   	0.300000	25255.4   	0.300000	28355.9   	0.300000	28355.9   	0.300000	28356.1   	0.300000	179.301   	0.300000	212.66    	0.300000	860.915   	0.300000	1443.4    	0.300000	843.37    	
0.350000	31083.4   	0.350000	31083.4   	0.350000	34254.4   	0.350000	34254.4   	0.350000	34254.6   	0.350000	223.2     	0.350000	256.968   	0.350000	974.779   	0.350000	1614.03   	0.350000	954.721   	
0.400000	37466.6   	0.400000	37466.6   	0.400000	40716.7   	0.400000	40716.7   	0.400000	40716.9   	0.400000	273.337   	0.400000	305.886   	0.400000	1095.93   	0.400000	1793.21   	0.400000	1074.11   	
0.450000	44388.4   	0.450000	44388.4   	0.450000	47742.1   	0.450000	47742.1   	0.450000	47742.3   	0.450000	329.585   	0.450000	359.264   	0.450000	1224.97   	0.450000	1981.7    	0.450000	1201.98   	
0.500000	51834.8   	0.500000	51834.8   	0.500000	55325.3   	0.500000	55325.3   	0.500000	55325.5   	0.500000	391.773   	0.500000	416.894   	0.500000	1361.9    	0.500000	2179.97   	0.500000	1338.18   	
0.600000	68254.9   	0.600000	68254.9   	0.600000	72130.6   	0.600000	72130.6   	0.600000	72130.8   	0.600000	533.227   	0.600000	544.788   	0.600000	1659.77   	0.600000	2606.2    	0.600000	1635.96   	
0.700000	86649.4   	0.700000	86649.4   	0.700000	91056.8   	0.700000	91056.8   	0.700000	91056.9   	0.700000	696.285   	0.700000	691.357   	0.700000	1988.8    	0.700000	3070.87   	0.700000	1966.78   	
0.800000	106958    	0.800000	106958    	0.800000	112027    	0.800000	112027    	0.800000	112027    	0.800000	879.747   	0.800000	854.164   	0.800000	2345.84   	0.800000	3572.92   	0.800000	2329.92   	
0.900000	129133    	0.900000	129133    	0.900000	134973    	0.900000	134973    	0.900000	134973    	0.900000	1082.65   	0.900000	1031.13   	0.900000	2727.01   	0.900000	4095.73   	0.900000	2723.99   	
1.000000	153134    	1.000000	153134    	1.000000	159833    	1.000000	159833    	1.000000	159833    	1.000000	1304.25   	1.000000	1220.89   	1.000000	3136.52   	1.000000	4651.78   	1.000000	3148.54   	
1.250000	220906    	1.250000	220906    	1.250000	230041    	1.250000	230041    	1.250000	230041    	1.250000	1936.5    	1.250000	1745.65   	1.250000	4279.58   	1.250000	6184.93   	1.250000	4266.51   	
1.500000	299450    	1.500000	299450    	1.500000	311290    	1.500000	311290    	1.500000	311290    	1.500000	2676.06   	1.500000	2336.03   	1.500000	5585.35   	1.500000	7910.07   	1.500000	5554.87   	
1.750000	388433    	1.750000	388433    	1.750000	403139    	1.750000	403139    	1.750000	403139    	1.750000	3519.31   	1.750000	2987.33   	1.750000	7046.77   	1.750000	9816.09   	1.750000	7006.68   	
2.000000	487590    	2.000000	487590    	2.000000	505263    	2.000000	505263    	2.000000	505263    	2.000000	4463.94   	2.000000	3696.66   	2.000000	8656.08   	2.000000	11891.7   	2.000000	8616.67   	
2.250000	596700    	2.250000	596700    	2.250000	617408    	2.250000	617408    	2.250000	617408    	2.250000	5508.36   	2.250000	4462.07   	2.250000	10389.2   	2.250000	14107.1   	2.250000	10380.8   	
2.500000	715745    	2.500000	715575    	2.500000	739370    	2.500000	739370    	2.500000	739370    	2.500000	6651.35   	2.500000	5282.18   	2.500000	12266.8   	2.500000	16486.1   	2.500000	12295.9   	
3.000000	992835    	3.000000	981981    	3.000000	1.01209e+06	3.000000	1.01209e+06	3.000000	1.01209e+06	3.000000	9229.39   	3.000000	7082.33   	3.000000	16446.5   	3.000000	21718.9   	3.000000	16568.8   	
3.500000	1.30821e+06	3.500000	1.28571e+06	3.500000	1.32233e+06	3.500000	1.32233e+06	3.500000	1.32233e+06	3.500000	12192     	3.500000	9090.15   	3.500000	21179.1   	3.500000	27562.6   	3.500000	21419     	
4.000000	1.66107e+06	4.000000	1.62587e+06	4.000000	1.66925e+06	4.000000	1.66925e+06	4.000000	1.66925e+06	4.000000	15534.7   	4.000000	11300.2   	4.000000	26452.5   	4.000000	33996.5   	4.000000	26834.3   	
4.500000	2.05073e+06	4.500000	2.00173e+06	4.500000	2.05214e+06	4.500000	2.05214e+06	4.500000	2.05214e+06	4.500000	19253.5   	4.500000	13707.9   	4.500000	32257.1   	4.500000	41004.1   	4.500000	32805.1   	
5.000000	2.47661e+06	5.000000	2.41264e+06	5.000000	2.47044e+06	5.000000	2.47044e+06	5.000000	2.47044e+06	5.000000	23345.4   	5.000000	16309.6   	5.000000	38585     	5.000000	48571.8   	5.000000	39323.4   	
