! 3H range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	0.116624  	0.001000	0.116624  	0.001000	0.0906132 	0.001000	0.0906132 	0.001000	0.0906444 	0.001000	0         	0.001000	0         	0.001000	0.00176481	0.001000	0.00273654	0.001000	0.00134668	
0.002000	0.235743  	0.002000	0.233248  	0.002000	0.181226  	0.002000	0.181226  	0.002000	0.181289  	0.002000	0.0122952 	0.002000	0.0122952 	0.002000	0.00516861	0.002000	0.00774311	0.002000	0.00408724	
0.005000	0.506464  	0.005000	0.4983    	0.005000	0.382711  	0.005000	0.382711  	0.005000	0.3828    	0.005000	0.0139765 	0.005000	0.0139765 	0.005000	0.0161962 	0.005000	0.0236295 	0.005000	0.0131249 	
0.008000	0.717538  	0.008000	0.704954  	0.008000	0.538092  	0.008000	0.538092  	0.008000	0.53819   	0.008000	0.0140206 	0.008000	0.0140206 	0.008000	0.0273468 	0.008000	0.0393658 	0.008000	0.022416  	
0.010000	0.840255  	0.010000	0.825101  	0.010000	0.628112  	0.010000	0.628112  	0.010000	0.628213  	0.010000	0.0141613 	0.010000	0.0141613 	0.010000	0.0346983 	0.010000	0.0496397 	0.010000	0.0285868 	
0.015000	1.09736   	0.015000	1.07682   	0.015000	0.824191  	0.015000	0.824191  	0.015000	0.824293  	0.015000	0.0148221 	0.015000	0.0148221 	0.015000	0.052716  	0.015000	0.0746011 	0.015000	0.0438077 	
0.020000	1.30524   	0.020000	1.28035   	0.020000	0.993264  	0.020000	0.993264  	0.020000	0.993368  	0.020000	0.0156641 	0.020000	0.0156641 	0.020000	0.0702843 	0.020000	0.0987145 	0.020000	0.0587465 	
0.025000	1.48351   	0.025000	1.45488   	0.025000	1.14455   	0.025000	1.14455   	0.025000	1.14465   	0.025000	0.0165272 	0.025000	0.0165272 	0.025000	0.0874722 	0.025000	0.122144  	0.025000	0.0734308 	
0.030000	1.6423    	0.030000	1.61035   	0.030000	1.28393   	0.030000	1.28393   	0.030000	1.28404   	0.030000	0.0173728 	0.030000	0.0173728 	0.030000	0.104474  	0.030000	0.145184  	0.030000	0.0880136 	
0.035000	1.78761   	0.035000	1.75262   	0.035000	1.41546   	0.035000	1.41546   	0.035000	1.41557   	0.035000	0.0182028 	0.035000	0.0182028 	0.035000	0.121513  	0.035000	0.168144  	0.035000	0.102681  	
