! 4He range in H190C5F20
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	425.571   	0.001000	425.571   	0.001000	321.618   	0.001000	321.618   	0.001000	321.718   	0.001000	0         	0.001000	0         	0.001000	4.16626   	0.001000	9.51783   	0.001000	4.35704   	
0.002000	851.143   	0.002000	851.143   	0.002000	643.237   	0.002000	643.237   	0.002000	643.437   	0.002000	28.8978   	0.002000	28.8978   	0.002000	12.2005   	0.002000	26.9305   	0.002000	13.4112   	
0.005000	1766.91   	0.005000	1766.91   	0.005000	1336.9    	0.005000	1336.9    	0.005000	1337.18   	0.005000	32.654    	0.005000	32.654    	0.005000	37.2327   	0.005000	80.1945   	0.005000	42.2609   	
0.008000	2431.56   	0.008000	2431.56   	0.008000	1855.08   	0.008000	1855.08   	0.008000	1855.38   	0.008000	32.7393   	0.008000	32.7393   	0.008000	61.5455   	0.008000	130.958   	0.008000	70.9081   	
0.010000	2805.77   	0.010000	2805.77   	0.010000	2152.91   	0.010000	2152.91   	0.010000	2153.22   	0.010000	33.0086   	0.010000	33.0086   	0.010000	77.3788   	0.010000	163.704   	0.010000	89.7638   	
0.015000	3571.74   	0.015000	3571.74   	0.015000	2801.98   	0.015000	2801.98   	0.015000	2802.31   	0.015000	34.2831   	0.015000	34.2831   	0.015000	116.075   	0.015000	243.033   	0.015000	136.292   	
0.020000	4179.1    	0.020000	4179.1    	0.020000	3365.51   	0.020000	3365.51   	0.020000	3365.83   	0.020000	35.953    	0.020000	35.953    	0.020000	152.096   	0.020000	315.002   	0.020000	182.344   	
0.025000	4694.67   	0.025000	4694.67   	0.025000	3873.84   	0.025000	3873.84   	0.025000	3874.17   	0.025000	37.7182   	0.025000	37.7182   	0.025000	182.581   	0.025000	372.246   	0.025000	224.108   	
0.030000	5151.06   	0.030000	5151.06   	0.030000	4339.6    	0.030000	4339.6    	0.030000	4339.93   	0.030000	39.4275   	0.030000	39.4275   	0.030000	209.894   	0.030000	421.349   	0.030000	255.025   	
0.035000	5566.47   	0.035000	5566.47   	0.035000	4771.01   	0.035000	4771.01   	0.035000	4771.34   	0.035000	41.0246   	0.035000	41.0246   	0.035000	235.036   	0.035000	465.046   	0.035000	279.314   	
