! 7Li range in C5F20H190
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	460.267   	0.001000	460.267   	0.001000	345.145   	0.001000	345.145   	0.001000	345.19    	0.001000	0         	0.001000	0         	0.001000	4.61763   	0.001000	10.5784   	0.001000	4.88582   	
0.002000	920.534   	0.002000	920.534   	0.002000	690.289   	0.002000	690.289   	0.002000	690.379   	0.002000	27.0713   	0.002000	27.0713   	0.002000	13.5224   	0.002000	29.9323   	0.002000	15.0282   	
0.005000	2101.52   	0.005000	2101.52   	0.005000	1541.82   	0.005000	1541.82   	0.005000	1541.96   	0.005000	31.8615   	0.005000	31.8615   	0.005000	46.4723   	0.005000	99.5814   	0.005000	53.8154   	
0.008000	3048.86   	0.008000	3048.86   	0.008000	2222.52   	0.008000	2222.52   	0.008000	2222.67   	0.008000	32.0092   	0.008000	32.0092   	0.008000	81.4956   	0.008000	172.172   	0.008000	95.9554   	
0.010000	3596.21   	0.010000	3596.21   	0.010000	2618.77   	0.010000	2618.77   	0.010000	2618.92   	0.010000	32.4828   	0.010000	32.4828   	0.010000	104.866   	0.010000	220.158   	0.010000	124.361   	
0.015000	4770.31   	0.015000	4770.31   	0.015000	3487.03   	0.015000	3487.03   	0.015000	3487.19   	0.015000	34.7265   	0.015000	34.7265   	0.015000	162.586   	0.015000	337.483   	0.015000	195.496   	
0.020000	5747.7    	0.020000	5747.7    	0.020000	4253.35   	0.020000	4253.35   	0.020000	4253.51   	0.020000	37.7101   	0.020000	37.7101   	0.020000	213.121   	0.020000	434.44    	0.020000	266.133   	
0.025000	6580.81   	0.025000	6580.81   	0.025000	4945.89   	0.025000	4945.89   	0.025000	4946.05   	0.025000	40.7774   	0.025000	40.7774   	0.025000	257.208   	0.025000	514.165   	0.025000	319.107   	
0.030000	7309.13   	0.030000	7309.13   	0.030000	5576.54   	0.030000	5576.54   	0.030000	5576.71   	0.030000	43.6174   	0.030000	43.6174   	0.030000	297.217   	0.030000	583.689   	0.030000	358.848   	
0.035000	7963.47   	0.035000	7963.47   	0.035000	6155.29   	0.035000	6155.29   	0.035000	6155.46   	0.035000	46.1477   	0.035000	46.1477   	0.035000	333.899   	0.035000	645.54    	0.035000	390.298   	
