! 9He range in C5F20H190
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	888.958   	0.001000	888.958   	0.001000	684.322   	0.001000	684.322   	0.001000	684.466   	0.001000	0         	0.001000	0         	0.001000	13.4274   	0.001000	29.5482   	0.001000	14.8207   	
0.002000	1777.92   	0.002000	1777.92   	0.002000	1368.64   	0.002000	1368.64   	0.002000	1368.93   	0.002000	39.4559   	0.002000	39.4559   	0.002000	39.3251   	0.002000	83.641    	0.002000	45.3029   	
0.005000	3787.43   	0.005000	3787.43   	0.005000	2901.69   	0.005000	2901.69   	0.005000	2902.09   	0.005000	45.1024   	0.005000	45.1024   	0.005000	124.039   	0.005000	257.045   	0.005000	147.25    	
0.008000	5272.9    	0.008000	5272.9    	0.008000	4062.66   	0.008000	4062.66   	0.008000	4063.1    	0.008000	45.2391   	0.008000	45.2391   	0.008000	207.212   	0.008000	423.851   	0.008000	250.116   	
0.010000	6113.1    	0.010000	6113.1    	0.010000	4732.25   	0.010000	4732.25   	0.010000	4732.7    	0.010000	45.6724   	0.010000	45.6724   	0.010000	254.772   	0.010000	514.104   	0.010000	317.554   	
0.015000	7837.2    	0.015000	7837.2    	0.015000	6194.18   	0.015000	6194.18   	0.015000	6194.65   	0.015000	47.7275   	0.015000	47.7275   	0.015000	355.011   	0.015000	691.03    	0.015000	431.501   	
0.020000	9206.69   	0.020000	9206.69   	0.020000	7465.04   	0.020000	7465.04   	0.020000	7465.51   	0.020000	50.4118   	0.020000	50.4118   	0.020000	441.411   	0.020000	830.789   	0.020000	504.45    	
0.025000	10370.1   	0.025000	10370.1   	0.025000	8612.12   	0.025000	8612.12   	0.025000	8612.6    	0.025000	53.2348   	0.025000	53.2348   	0.025000	507.098   	0.025000	934.335   	0.025000	558.259   	
0.030000	11400.4   	0.030000	11400.4   	0.030000	9663.51   	0.030000	9663.51   	0.030000	9663.99   	0.030000	55.9549   	0.030000	55.9549   	0.030000	556.763   	0.030000	1012.5    	0.030000	601.12    	
0.035000	12338.3   	0.035000	12338.3   	0.035000	10637.6   	0.035000	10637.6   	0.035000	10638.1   	0.035000	58.4857   	0.035000	58.4857   	0.035000	596.965   	0.035000	1075.66   	0.035000	636.225   	
