! 9He range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	0.207227  	0.001000	0.207227  	0.001000	0.173521  	0.001000	0.173521  	0.001000	0.173643  	0.001000	0         	0.001000	0         	0.001000	0.00481463	0.001000	0.00725819	0.001000	0.00381517	
0.002000	0.422552  	0.002000	0.414455  	0.002000	0.347041  	0.002000	0.347041  	0.002000	0.347286  	0.002000	0.0217381 	0.002000	0.0217381 	0.002000	0.0141033 	0.002000	0.0205445 	0.002000	0.0115305 	
0.005000	0.904656  	0.005000	0.878428  	0.005000	0.712506  	0.005000	0.712506  	0.005000	0.712847  	0.005000	0.0245031 	0.005000	0.0245031 	0.005000	0.0421986 	0.005000	0.0600742 	0.005000	0.0351618 	
0.008000	1.25414   	0.008000	1.21477   	0.008000	0.969264  	0.008000	0.969264  	0.008000	0.969629  	0.008000	0.024551  	0.008000	0.024551  	0.008000	0.0675534 	0.008000	0.095215  	0.008000	0.056725  	
0.010000	1.44847   	0.010000	1.40179   	0.010000	1.11073   	0.010000	1.11073   	0.010000	1.1111    	0.010000	0.0246892 	0.010000	0.0246892 	0.010000	0.0832304 	0.010000	0.116785  	0.010000	0.0701267 	
0.015000	1.84031   	0.015000	1.7789    	0.015000	1.40592   	0.015000	1.40592   	0.015000	1.4063    	0.015000	0.0252662 	0.015000	0.0252662 	0.015000	0.11945   	0.015000	0.166299  	0.015000	0.101227  	
0.020000	2.14492   	0.020000	2.07205   	0.020000	1.64997   	0.020000	1.64997   	0.020000	1.65035   	0.020000	0.0259356 	0.020000	0.0259356 	0.020000	0.152762  	0.020000	0.209815  	0.020000	0.129971  	
0.025000	2.39895   	0.025000	2.31653   	0.025000	1.86212   	0.025000	1.86212   	0.025000	1.86251   	0.025000	0.0265841 	0.025000	0.0265841 	0.025000	0.183822  	0.025000	0.247435  	0.025000	0.156868  	
0.030000	2.62025   	0.030000	2.5295    	0.030000	2.05317   	0.030000	2.05317   	0.030000	2.05356   	0.030000	0.0271944 	0.030000	0.0271944 	0.030000	0.207479  	0.030000	0.274772  	0.030000	0.177421  	
0.035000	2.81888   	0.035000	2.72066   	0.035000	2.22996   	0.035000	2.22996   	0.035000	2.23035   	0.035000	0.0277745 	0.035000	0.0277745 	0.035000	0.225633  	0.035000	0.295406  	0.035000	0.193248  	
0.040000	3.00111   	0.040000	2.89605   	0.040000	2.39601   	0.040000	2.39601   	0.040000	2.3964    	0.040000	0.0283269 	0.040000	0.0283269 	0.040000	0.240492  	0.040000	0.312201  	0.040000	0.206241  	
0.045000	3.17114   	0.045000	3.05968   	0.045000	2.55375   	0.045000	2.55375   	0.045000	2.55415   	0.045000	0.0288556 	0.045000	0.0288556 	0.045000	0.252848  	0.045000	0.326235  	0.045000	0.217082  	
0.050000	3.3319    	0.050000	3.21439   	0.050000	2.70493   	0.050000	2.70493   	0.050000	2.70533   	0.050000	0.0293652 	0.050000	0.0294612 	0.050000	0.263779  	0.050000	0.338613  	0.050000	0.226697  	
0.055000	3.48553   	0.055000	3.36224   	0.055000	2.85087   	0.055000	2.85087   	0.055000	2.85126   	0.055000	0.0298595 	0.055000	0.0300865 	0.055000	0.273455  	0.055000	0.349623  	0.055000	0.235232  	
0.060000	3.63363   	0.060000	3.50477   	0.060000	2.99256   	0.060000	2.99256   	0.060000	2.99296   	0.060000	0.030342  	0.060000	0.0306801 	0.060000	0.282141  	0.060000	0.35952   	0.060000	0.242916  	
0.070000	3.91789   	0.070000	3.77835   	0.070000	3.26629   	0.070000	3.26629   	0.070000	3.26669   	0.070000	0.0312835 	0.070000	0.0317997 	0.070000	0.297602  	0.070000	0.377118  	0.070000	0.256646  	
0.080000	4.19167   	0.080000	4.04183   	0.080000	3.53089   	0.080000	3.53089   	0.080000	3.53129   	0.080000	0.0322095 	0.080000	0.0328618 	0.080000	0.311106  	0.080000	0.392454  	0.080000	0.268701  	
0.090000	4.45942   	0.090000	4.29951   	0.090000	3.78961   	0.090000	3.78961   	0.090000	3.79001   	0.090000	0.0331347 	0.090000	0.0338934 	0.090000	0.323341  	0.090000	0.406252  	0.090000	0.279674  	
0.100000	4.72405   	0.100000	4.55419   	0.100000	4.04476   	0.100000	4.04476   	0.100000	4.04516   	0.100000	0.0340705 	0.100000	0.0349126 	0.100000	0.334604  	0.100000	0.418907  	0.100000	0.289815  	
0.120000	5.25117   	0.120000	5.06149   	0.120000	4.55071   	0.120000	4.55071   	0.120000	4.55111   	0.120000	0.0360066 	0.120000	0.0369622 	0.120000	0.355335  	0.120000	0.441937  	0.120000	0.308576  	
0.140000	5.78236   	0.140000	5.57271   	0.140000	5.05779   	0.140000	5.05779   	0.140000	5.05819   	0.140000	0.0380662 	0.140000	0.0390776 	0.140000	0.374316  	0.140000	0.462805  	0.140000	0.325864  	
0.160000	6.32206   	0.160000	6.09211   	0.160000	5.57124   	0.160000	5.57124   	0.160000	5.57164   	0.160000	0.040278  	0.160000	0.0412951 	0.160000	0.392221  	0.160000	0.482267  	0.160000	0.342253  	
0.180000	6.87242   	0.180000	6.62176   	0.180000	6.09416   	0.180000	6.09416   	0.180000	6.09456   	0.180000	0.0426579 	0.180000	0.0436338 	0.180000	0.409603  	0.180000	0.500967  	0.180000	0.358214  	
0.200000	7.43449   	0.200000	7.16271   	0.200000	6.62841   	0.200000	6.62841   	0.200000	6.62881   	0.200000	0.0452133 	0.200000	0.0461025 	0.200000	0.426027  	0.200000	0.518885  	0.200000	0.373552  	
0.250000	8.89425   	0.250000	8.56757   	0.250000	8.0199    	0.250000	8.0199    	0.250000	8.0203    	0.250000	0.0523731 	0.250000	0.0528515 	0.250000	0.465157  	0.250000	0.562191  	0.250000	0.41139   	
0.300000	10.4352   	0.300000	10.0506   	0.300000	9.49649   	0.300000	9.49649   	0.300000	9.49689   	0.300000	0.060593  	0.300000	0.0603903 	0.300000	0.503695  	0.300000	0.604192  	0.300000	0.449078  	
0.350000	12.0601   	0.350000	11.6144   	0.350000	11.0606   	0.350000	11.0606   	0.350000	11.061    	0.350000	0.0698018 	0.350000	0.0686546 	0.350000	0.542009  	0.350000	0.645808  	0.350000	0.486693  	
