! 9Li range in H190C5F20
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	579.923   	0.001000	579.923   	0.001000	437.104   	0.001000	437.104   	0.001000	437.175   	0.001000	0         	0.001000	0         	0.001000	6.6597    	0.001000	15.0787   	0.001000	7.17112   	
0.002000	1159.85   	0.002000	1159.85   	0.002000	874.208   	0.002000	874.208   	0.002000	874.35    	0.002000	29.956    	0.002000	29.956    	0.002000	19.5029   	0.002000	42.6704   	0.002000	22.0073   	
0.005000	2665.36   	0.005000	2665.36   	0.005000	1962.51   	0.005000	1962.51   	0.005000	1962.72   	0.005000	35.3729   	0.005000	35.3729   	0.005000	67.59     	0.005000	143.103   	0.005000	79.372    	
0.008000	3879.47   	0.008000	3879.47   	0.008000	2835.85   	0.008000	2835.85   	0.008000	2836.09   	0.008000	35.5429   	0.008000	35.5429   	0.008000	118.979   	0.008000	248.374   	0.008000	141.971   	
0.010000	4582.02   	0.010000	4582.02   	0.010000	3344.8    	0.010000	3344.8    	0.010000	3345.05   	0.010000	36.0887   	0.010000	36.0887   	0.010000	153.337   	0.010000	318.111   	0.010000	184.232   	
0.015000	6090.46   	0.015000	6090.46   	0.015000	4460.75   	0.015000	4460.75   	0.015000	4461      	0.015000	38.6757   	0.015000	38.6757   	0.015000	231.268   	0.015000	470.353   	0.015000	289.67    	
0.020000	7346.89   	0.020000	7346.89   	0.020000	5446.04   	0.020000	5446.04   	0.020000	5446.3    	0.020000	42.1105   	0.020000	42.1105   	0.020000	296.942   	0.020000	588.785   	0.020000	369.053   	
0.025000	8418.17   	0.025000	8418.17   	0.025000	6336.66   	0.025000	6336.66   	0.025000	6336.92   	0.025000	45.6354   	0.025000	45.6354   	0.025000	356.291   	0.025000	690.315   	0.025000	425.654   	
0.030000	9354.88   	0.030000	9354.88   	0.030000	7147.8    	0.030000	7147.8    	0.030000	7148.07   	0.030000	48.8941   	0.030000	48.8941   	0.030000	409.755   	0.030000	777.356   	0.030000	469.495   	
0.035000	10196.5   	0.035000	10196.5   	0.035000	7892.24   	0.035000	7892.24   	0.035000	7892.51   	0.035000	51.7941   	0.035000	51.7941   	0.035000	452.628   	0.035000	846.523   	0.035000	504.577   	
0.040000	10967.2   	0.040000	10967.2   	0.040000	8583.47   	0.040000	8583.47   	0.040000	8583.73   	0.040000	54.376    	0.040000	54.376    	0.040000	487.155   	0.040000	902.073   	0.040000	533.713   	
0.045000	11682.3   	0.045000	11682.3   	0.045000	9231.37   	0.045000	9231.37   	0.045000	9231.64   	0.045000	56.6896   	0.045000	56.6896   	0.045000	516.113   	0.045000	948.517   	0.045000	558.939   	
0.050000	12352.1   	0.050000	12352.1   	0.050000	9843.47   	0.050000	9843.47   	0.050000	9843.74   	0.050000	58.7808   	0.050000	58.7776   	0.050000	540.988   	0.050000	988.362   	0.050000	580.507   	
0.055000	12984     	0.055000	12984     	0.055000	10425.6   	0.055000	10425.6   	0.055000	10425.9   	0.055000	60.6885   	0.055000	60.6734   	0.055000	562.905   	0.055000	1023.38   	0.055000	599.78    	
0.060000	13583.7   	0.060000	13583.7   	0.060000	10982.5   	0.060000	10982.5   	0.060000	10982.7   	0.060000	62.4444   	0.060000	62.4161   	0.060000	582.404   	0.060000	1054.46   	0.060000	617.144   	
0.070000	14704.4   	0.070000	14704.4   	0.070000	12034.6   	0.070000	12034.6   	0.070000	12034.8   	0.070000	65.5999   	0.070000	65.5564   	0.070000	615.834   	0.070000	1107.52   	0.070000	647.426   	
0.080000	15742.5   	0.080000	15742.5   	0.080000	13022.7   	0.080000	13022.7   	0.080000	13023     	0.080000	68.4022   	0.080000	68.369    	0.080000	644.033   	0.080000	1151.94   	0.080000	673.512   	
0.090000	16718.2   	0.090000	16718.2   	0.090000	13962.9   	0.090000	13962.9   	0.090000	13963.2   	0.090000	70.9556   	0.090000	70.9564   	0.090000	668.964   	0.090000	1190.82   	0.090000	696.522   	
0.100000	17646.2   	0.100000	17646.2   	0.100000	14866.9   	0.100000	14866.9   	0.100000	14867.2   	0.100000	73.3326   	0.100000	73.334    	0.100000	690.811   	0.100000	1224.67   	0.100000	717.472   	
