! 9Li range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	0.114203  	0.001000	0.114203  	0.001000	0.0722242 	0.001000	0.0722242 	0.001000	0.0722488 	0.001000	0         	0.001000	0         	0.001000	0.00123252	0.001000	0.00194716	0.001000	0.00093541	
0.002000	0.233657  	0.002000	0.228406  	0.002000	0.144448  	0.002000	0.144448  	0.002000	0.144498  	0.002000	0.00864254	0.002000	0.00864254	0.002000	0.00360953	0.002000	0.0055091 	0.002000	0.00284364	
0.005000	0.530597  	0.005000	0.512294  	0.005000	0.330289  	0.005000	0.330289  	0.005000	0.330367  	0.005000	0.0102686 	0.005000	0.0102686 	0.005000	0.0128946 	0.005000	0.0189951 	0.005000	0.0105049 	
0.008000	0.768559  	0.008000	0.739796  	0.008000	0.489831  	0.008000	0.489831  	0.008000	0.489921  	0.008000	0.0103372 	0.008000	0.0103372 	0.008000	0.0236805 	0.008000	0.0342897 	0.008000	0.0195763 	
0.010000	0.906512  	0.010000	0.871685  	0.010000	0.586977  	0.010000	0.586977  	0.010000	0.587072  	0.010000	0.0105782 	0.010000	0.0105782 	0.010000	0.0313073 	0.010000	0.0449779 	0.010000	0.0260473 	
0.015000	1.20374   	0.015000	1.15585   	0.015000	0.807706  	0.015000	0.807706  	0.015000	0.807808  	0.015000	0.0118148 	0.015000	0.0118148 	0.015000	0.0512324 	0.015000	0.0726019 	0.015000	0.0430822 	
0.020000	1.44469   	0.020000	1.3862    	0.020000	0.997982  	0.020000	0.997982  	0.020000	0.998087  	0.020000	0.0132775 	0.020000	0.0132775 	0.020000	0.0709242 	0.020000	0.0996873 	0.020000	0.0600092 	
0.025000	1.64524   	0.025000	1.57794   	0.025000	1.16348   	0.025000	1.16348   	0.025000	1.16359   	0.025000	0.0145882 	0.025000	0.0145882 	0.025000	0.0897408 	0.025000	0.125455  	0.025000	0.0762324 	
0.030000	1.81829   	0.030000	1.74339   	0.030000	1.31145   	0.030000	1.31145   	0.030000	1.31156   	0.030000	0.0157243 	0.030000	0.0157243 	0.030000	0.107821  	0.030000	0.150118  	0.030000	0.0918616 	
0.035000	1.97205   	0.035000	1.89039   	0.035000	1.44695   	0.035000	1.44695   	0.035000	1.44706   	0.035000	0.0167238 	0.035000	0.0167238 	0.035000	0.125382  	0.035000	0.173928  	0.035000	0.107079  	
0.040000	2.11164   	0.040000	2.02384   	0.040000	1.57279   	0.040000	1.57279   	0.040000	1.5729    	0.040000	0.0176109 	0.040000	0.0176109 	0.040000	0.141289  	0.040000	0.194859  	0.040000	0.120892  	
0.045000	2.24048   	0.045000	2.14702   	0.045000	1.69097   	0.045000	1.69097   	0.045000	1.69108   	0.045000	0.0184083 	0.045000	0.0184083 	0.045000	0.153933  	0.045000	0.210997  	0.045000	0.131895  	
0.050000	2.36102   	0.050000	2.26226   	0.050000	1.803     	0.050000	1.803     	0.050000	1.80311   	0.050000	0.0191346 	0.050000	0.0190906 	0.050000	0.164675  	0.050000	0.224437  	0.050000	0.141261  	
0.055000	2.47507   	0.055000	2.3713    	0.055000	1.91003   	0.055000	1.91003   	0.055000	1.91014   	0.055000	0.0198045 	0.055000	0.0196872 	0.055000	0.174015  	0.055000	0.235983  	0.055000	0.149419  	
0.060000	2.584     	0.060000	2.47544   	0.060000	2.01296   	0.060000	2.01296   	0.060000	2.01308   	0.060000	0.0204297 	0.060000	0.0202366 	0.060000	0.18222   	0.060000	0.246054  	0.060000	0.1566    	
0.070000	2.79048   	0.070000	2.67284   	0.070000	2.20929   	0.070000	2.20929   	0.070000	2.2094    	0.070000	0.0215806 	0.070000	0.0212337 	0.070000	0.196273  	0.070000	0.26321   	0.070000	0.168933  	
0.080000	2.98646   	0.080000	2.86021   	0.080000	2.39629   	0.080000	2.39629   	0.080000	2.3964    	0.080000	0.0226405 	0.080000	0.02214   	0.080000	0.208074  	0.080000	0.277578  	0.080000	0.179328  	
0.090000	3.17578   	0.090000	3.04121   	0.090000	2.57688   	0.090000	2.57688   	0.090000	2.57699   	0.090000	0.0236439 	0.090000	0.022991  	0.090000	0.218556  	0.090000	0.290288  	0.090000	0.188589  	
0.100000	3.36096   	0.100000	3.21824   	0.100000	2.75313   	0.100000	2.75313   	0.100000	2.75324   	0.100000	0.0246141 	0.100000	0.0238093 	0.100000	0.227883  	0.100000	0.301594  	0.100000	0.196859  	
0.120000	3.72287   	0.120000	3.56425   	0.120000	3.09821   	0.120000	3.09821   	0.120000	3.09832   	0.120000	0.0265151 	0.120000	0.0254045 	0.120000	0.244574  	0.120000	0.321745  	0.120000	0.211718  	
0.140000	4.07868   	0.140000	3.90442   	0.140000	3.43935   	0.140000	3.43935   	0.140000	3.43946   	0.140000	0.0284244 	0.140000	0.0270006 	0.140000	0.259392  	0.140000	0.339549  	0.140000	0.224982  	
0.160000	4.4322    	0.160000	4.2424    	0.160000	3.78092   	0.160000	3.78092   	0.160000	3.78104   	0.160000	0.0303834 	0.160000	0.028635  	0.160000	0.273057  	0.160000	0.355876  	0.160000	0.237271  	
0.180000	4.78603   	0.180000	4.58068   	0.180000	4.12538   	0.180000	4.12538   	0.180000	4.1255    	0.180000	0.0324123 	0.180000	0.0303258 	0.180000	0.286004  	0.180000	0.371239  	0.180000	0.24896   	
0.200000	5.14098   	0.200000	4.92002   	0.200000	4.47412   	0.200000	4.47412   	0.200000	4.47423   	0.200000	0.0345196 	0.200000	0.0320803 	0.200000	0.298343  	0.200000	0.385815  	0.200000	0.260142  	
0.250000	6.03673   	0.250000	5.7764    	0.250000	5.36865   	0.250000	5.36865   	0.250000	5.36877   	0.250000	0.04013   	0.250000	0.0367436 	0.250000	0.327764  	0.250000	0.420168  	0.250000	0.286943  	
0.300000	6.93535   	0.300000	6.63552   	0.300000	6.29559   	0.300000	6.29559   	0.300000	6.29571   	0.300000	0.0461369 	0.300000	0.0417204 	0.300000	0.355667  	0.300000	0.452284  	0.300000	0.31253   	
0.350000	7.84039   	0.350000	7.50077   	0.350000	7.24922   	0.350000	7.24922   	0.350000	7.24934   	0.350000	0.0523702 	0.350000	0.0468605 	0.350000	0.382644  	0.350000	0.482903  	0.350000	0.337377  	
0.400000	8.75854   	0.400000	8.37857   	0.400000	8.2306    	0.400000	8.2306    	0.400000	8.23071   	0.400000	0.0588227 	0.400000	0.0521506 	0.400000	0.409043  	0.400000	0.512456  	0.400000	0.361788  	
0.450000	9.6964    	0.450000	9.2752    	0.450000	9.24146   	0.450000	9.24146   	0.450000	9.24158   	0.450000	0.0655127 	0.450000	0.0576    	0.450000	0.435003  	0.450000	0.541199  	0.450000	0.385883  	
0.500000	10.6577   	0.500000	10.1942   	0.500000	10.2822   	0.500000	10.2822   	0.500000	10.2824   	0.500000	0.0724378 	0.500000	0.0632021 	0.500000	0.460883  	0.500000	0.569483  	0.500000	0.409969  	
0.600000	12.6515   	0.600000	12.1004   	0.600000	12.4519   	0.600000	12.4519   	0.600000	12.4521   	0.600000	0.0869436 	0.600000	0.0748113 	0.600000	0.512539  	0.600000	0.625091  	0.600000	0.458215  	
0.700000	14.7585   	0.700000	14.1148   	0.700000	14.737    	0.700000	14.737    	0.700000	14.7371   	0.700000	0.102277  	0.700000	0.0869095 	0.700000	0.564277  	0.700000	0.68006   	0.700000	0.50673   	
0.800000	16.9756   	0.800000	16.2344   	0.800000	17.1355   	0.800000	17.1355   	0.800000	17.1357   	0.800000	0.118413  	0.800000	0.0994663 	0.800000	0.616376  	0.800000	0.735103  	0.800000	0.555734  	
0.900000	19.296    	0.900000	18.4528   	0.900000	19.6463   	0.900000	19.6463   	0.900000	19.6464   	0.900000	0.135345  	0.900000	0.112471  	0.900000	0.669154  	0.900000	0.790603  	0.900000	0.605477  	
1.000000	21.7349   	1.000000	20.7846   	1.000000	22.2716   	1.000000	22.2716   	1.000000	22.2717   	1.000000	0.153138  	1.000000	0.125968  	1.000000	0.72266   	1.000000	0.84668   	1.000000	0.656014  	
1.250000	28.3979   	1.250000	27.1546   	1.250000	29.3436   	1.250000	29.3436   	1.250000	29.3437   	1.250000	0.201593  	1.250000	0.162402  	1.250000	0.860792  	1.250000	0.990718  	1.250000	0.786791  	
1.500000	36.0126   	1.500000	34.4346   	1.500000	37.1218   	1.500000	37.1218   	1.500000	37.1219   	1.500000	0.255456  	1.500000	0.204258  	1.500000	1.00266   	1.500000	1.14075   	1.500000	0.924216  	
1.750000	44.6332   	1.750000	42.6764   	1.750000	45.5989   	1.750000	45.5989   	1.750000	45.599    	1.750000	0.314768  	1.750000	0.250659  	1.750000	1.14972   	1.750000	1.2975    	1.750000	1.06145   	
2.000000	54.1846   	2.000000	51.8078   	2.000000	54.7742   	2.000000	54.7742   	2.000000	54.7742   	2.000000	0.379665  	2.000000	0.300963  	2.000000	1.28104   	2.000000	1.46136   	2.000000	1.18687   	
2.250000	64.6115   	2.250000	61.7765   	2.250000	64.6509   	2.250000	64.6509   	2.250000	64.651    	2.250000	0.450332  	2.250000	0.354927  	2.250000	1.42153   	2.250000	1.63248   	2.250000	1.32105   	
2.500000	75.8742   	2.500000	72.5434   	2.500000	75.2327   	2.500000	75.2327   	2.500000	75.2328   	2.500000	0.526924  	2.500000	0.412454  	2.500000	1.57126   	2.500000	1.795     	2.500000	1.46409   	
3.000000	99.9893   	3.000000	96.3645   	3.000000	98.5154   	3.000000	98.5154   	3.000000	98.5154   	3.000000	0.698231  	3.000000	0.537981  	3.000000	1.89855   	3.000000	2.13331   	3.000000	1.77692   	
3.500000	126.986   	3.500000	123.114   	3.500000	124.615   	3.500000	124.615   	3.500000	124.615   	3.500000	0.893893  	3.500000	0.677196  	3.500000	2.2628    	3.500000	2.5062    	3.500000	2.1254    	
4.000000	156.806   	4.000000	152.693   	4.000000	153.507   	4.000000	153.507   	4.000000	153.507   	4.000000	1.11378   	4.000000	0.829689  	4.000000	2.66367   	4.000000	2.91282   	4.000000	2.50929   	
4.500000	189.397   	4.500000	185.028   	4.500000	185.153   	4.500000	185.153   	4.500000	185.153   	4.500000	1.35754   	4.500000	0.99493   	4.500000	3.10065   	4.500000	3.35226   	4.500000	2.92811   	
5.000000	224.714   	5.000000	220.06    	5.000000	219.51    	5.000000	219.51    	5.000000	219.51    	5.000000	1.62467   	5.000000	1.17241   	5.000000	3.57313   	5.000000	3.82364   	5.000000	3.38133   	
5.500000	262.713   	5.500000	257.735   	5.500000	256.532   	5.500000	256.532   	5.500000	256.532   	5.500000	1.91467   	5.500000	1.36169   	5.500000	4.08041   	5.500000	4.32604   	5.500000	3.86828   	
6.000000	303.355   	6.000000	298.005   	6.000000	296.176   	6.000000	296.176   	6.000000	296.176   	6.000000	2.22702   	6.000000	1.56234   	6.000000	4.62188   	6.000000	4.85866   	6.000000	4.38839   	
6.500000	346.606   	6.500000	340.823   	6.500000	338.396   	6.500000	338.396   	6.500000	338.396   	6.500000	2.56123   	6.500000	1.77398   	6.500000	5.19688   	6.500000	5.42068   	6.500000	4.94104   	
7.000000	392.432   	7.000000	386.148   	7.000000	383.151   	7.000000	383.151   	7.000000	383.151   	7.000000	2.91685   	7.000000	1.99627   	7.000000	5.80483   	7.000000	6.01141   	7.000000	5.52567   	
7.500000	440.802   	7.500000	433.94    	7.500000	430.403   	7.500000	430.403   	7.500000	430.403   	7.500000	3.29346   	7.500000	2.22891   	7.500000	6.44514   	7.500000	6.63016   	7.500000	6.14173   	
8.000000	491.689   	8.000000	484.165   	8.000000	480.115   	8.000000	480.115   	8.000000	480.115   	8.000000	3.69068   	8.000000	2.47161   	8.000000	7.1173    	8.000000	7.27633   	8.000000	6.78873   	
8.500000	545.064   	8.500000	536.788   	8.500000	532.253   	8.500000	532.253   	8.500000	532.252   	8.500000	4.10817   	8.500000	2.72409   	8.500000	7.82081   	8.500000	7.94935   	8.500000	7.4662    	
9.000000	600.904   	9.000000	591.779   	9.000000	586.784   	9.000000	586.784   	9.000000	586.784   	9.000000	4.54563   	9.000000	2.98608   	9.000000	8.55523   	9.000000	8.64871   	9.000000	8.1737    	
9.500000	659.184   	9.500000	649.106   	9.500000	643.68    	9.500000	643.68    	9.500000	643.68    	9.500000	5.00276   	9.500000	3.2574    	9.500000	9.32012   	9.500000	9.37393   	9.500000	8.91084   	
10.000000	719.882   	10.000000	708.736   	10.000000	702.913   	10.000000	702.913   	10.000000	702.913   	10.000000	5.47932   	10.000000	3.53795   	10.000000	10.1151   	10.000000	10.1246   	10.000000	9.67723   	
11.000000	848.444   	11.000000	834.308   	11.000000	828.4     	11.000000	828.388   	11.000000	828.399   	11.000000	6.49234   	11.000000	4.12772   	11.000000	11.7957   	11.000000	11.7021   	11.000000	11.2982   	
12.000000	986.431   	12.000000	968.908   	12.000000	963.195   	12.000000	963.148   	12.000000	963.193   	12.000000	7.58575   	12.000000	4.75589   	12.000000	13.5966   	12.000000	13.3804   	12.000000	13.0363   	
13.000000	1133.7    	13.000000	1112.44   	13.000000	1107.17   	13.000000	1107.07   	13.000000	1107.17   	13.000000	8.75846   	13.000000	5.42144   	13.000000	15.5164   	13.000000	15.1576   	13.000000	14.8901   	
14.000000	1290.1    	14.000000	1264.8    	14.000000	1260.22   	14.000000	1260.06   	14.000000	1260.22   	14.000000	10.0097   	14.000000	6.1236    	14.000000	17.5538   	14.000000	17.0322   	14.000000	16.8585   	
15.000000	1455.52   	15.000000	1425.91   	15.000000	1422.26   	15.000000	1422.01   	15.000000	1422.25   	15.000000	11.339    	15.000000	6.86225   	15.000000	19.7077   	15.000000	19.0027   	15.000000	18.9403   	
16.000000	1629.84   	16.000000	1595.68   	16.000000	1593.19   	16.000000	1592.86   	16.000000	1593.19   	16.000000	12.7458   	16.000000	7.63715   	16.000000	21.9772   	16.000000	21.0682   	16.000000	21.135    	
17.000000	1812.95   	17.000000	1774.02   	17.000000	1772.96   	17.000000	1772.53   	17.000000	1772.96   	17.000000	14.23     	17.000000	8.44773   	17.000000	24.3616   	17.000000	23.2275   	17.000000	23.4417   	
18.000000	2004.73   	18.000000	1960.86   	18.000000	1961.51   	18.000000	1960.98   	18.000000	1961.51   	18.000000	15.7912   	18.000000	9.29364   	18.000000	26.8603   	18.000000	25.4799   	18.000000	25.8601   	
19.000000	2205.1    	19.000000	2156.11   	19.000000	2158.77   	19.000000	2158.14   	19.000000	2158.77   	19.000000	17.4294   	19.000000	10.1748   	19.000000	29.4729   	19.000000	27.8247   	19.000000	28.3896   	
20.000000	2413.96   	20.000000	2359.71   	20.000000	2364.7    	20.000000	2363.97   	20.000000	2364.72   	20.000000	19.1445   	20.000000	11.0911   	20.000000	32.1988   	20.000000	30.2611   	20.000000	31.0299   	
21.000000	2631.21   	21.000000	2571.57   	21.000000	2579.28   	21.000000	2578.44   	21.000000	2579.29   	21.000000	20.9364   	21.000000	12.0425   	21.000000	35.0378   	21.000000	32.7888   	21.000000	33.7808   	
22.000000	2856.78   	22.000000	2791.64   	22.000000	2802.45   	22.000000	2801.5    	22.000000	2802.45   	22.000000	22.8051   	22.000000	13.0289   	22.000000	37.9895   	22.000000	35.407    	22.000000	36.6418   	
23.000000	3090.57   	23.000000	3019.85   	23.000000	3034.17   	23.000000	3033.12   	23.000000	3034.18   	23.000000	24.7505   	23.000000	14.0501   	23.000000	41.0536   	23.000000	38.1155   	23.000000	39.613    	
24.000000	3332.51   	24.000000	3256.12   	24.000000	3274.41   	24.000000	3273.28   	24.000000	3274.42   	24.000000	26.7728   	24.000000	15.1062   	24.000000	44.2299   	24.000000	40.9138   	24.000000	42.6941   	
25.000000	3582.53   	25.000000	3500.41   	25.000000	3523.15   	25.000000	3521.94   	25.000000	3523.17   	25.000000	28.8718   	25.000000	16.197    	25.000000	47.5183   	25.000000	43.8016   	25.000000	45.8849   	
27.000000	4106.51   	27.000000	4012.76   	27.000000	4046.01   	27.000000	4044.67   	27.000000	4046.02   	27.000000	33.3      	27.000000	18.483    	27.000000	54.4303   	27.000000	49.8441   	27.000000	52.5955   	
29.000000	4661.94   	29.000000	4556.42   	29.000000	4602.55   	29.000000	4601.12   	29.000000	4602.53   	29.000000	38.0352   	29.000000	20.9074   	29.000000	61.7882   	29.000000	56.2406   	29.000000	59.744    	
31.000000	5248.3    	31.000000	5130.96   	31.000000	5192.24   	31.000000	5190.8    	31.000000	5192.19   	31.000000	43.0692   	31.000000	23.4641   	31.000000	69.5858   	31.000000	62.9847   	31.000000	67.3249   	
33.000000	5865.12   	33.000000	5735.95   	33.000000	5812.92   	33.000000	5811.53   	33.000000	5812.82   	33.000000	48.3543   	33.000000	26.1303   	33.000000	77.7894   	33.000000	70.0482   	33.000000	75.306    	
35.000000	6511.92   	35.000000	6370.98   	35.000000	6463.84   	35.000000	6462.59   	35.000000	6463.69   	35.000000	53.8819   	35.000000	28.9012   	35.000000	86.3881   	35.000000	77.4212   	35.000000	83.6775   	
38.000000	7537.39   	38.000000	7379      	38.000000	7496.03   	38.000000	7495.15   	38.000000	7495.81   	38.000000	62.6246   	38.000000	33.2512   	38.000000	100.014   	38.000000	89.049    	38.000000	96.9549   	
