 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 15, 2025 
 ==================================================================

 Disk File Name = /media/data/S2384/Calibrations/SRIM/10He_900mb_CF4_95-5.txt

 Ion = Helium [2] , Mass = 10.05282 amu

 Target Density =  2.9667E-04 g/cm3 = 4.6754E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    088.37    030.32   
      C      6    002.33    009.53   
      F      9    009.30    060.15   
 ====================================
 Bragg Correction = -4.31%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.457E-03  4.631E-03  769.11 um   211.70 um   170.21 um  
  11.00 keV   5.724E-03  4.383E-03  855.51 um   229.94 um   187.91 um  
  12.00 keV   5.978E-03  4.164E-03  942.07 um   247.51 um   205.40 um  
  13.00 keV   6.222E-03  3.969E-03    1.03 mm   264.44 um   222.63 um  
  14.00 keV   6.457E-03  3.794E-03    1.12 mm   280.76 um   239.59 um  
  15.00 keV   6.684E-03  3.636E-03    1.20 mm   296.48 um   256.26 um  
  16.00 keV   6.903E-03  3.492E-03    1.29 mm   311.63 um   272.63 um  
  17.00 keV   7.116E-03  3.362E-03    1.37 mm   326.25 um   288.69 um  
  18.00 keV   7.322E-03  3.242E-03    1.46 mm   340.35 um   304.44 um  
  20.00 keV   7.718E-03  3.029E-03    1.63 mm   367.37 um   335.05 um  
  22.50 keV   8.204E-03  2.804E-03    1.84 mm   398.74 um   371.60 um  
  25.00 keV   8.668E-03  2.614E-03    2.04 mm   427.54 um   406.28 um  
  27.50 keV   9.111E-03  2.451E-03    2.24 mm   454.06 um   439.19 um  
  30.00 keV   9.536E-03  2.310E-03    2.44 mm   478.57 um   470.43 um  
  32.50 keV   9.946E-03  2.186E-03    2.63 mm   501.31 um   500.12 um  
