 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 15, 2025 
 ==================================================================

 Disk File Name = /media/data/S2384/Calibrations/SRIM/10He_silicon.txt

 Ion = Helium [2] , Mass = 10.05282 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = -4.31%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.518E+01  2.342E+01    1105 A       575 A       450 A   
  11.00 keV   3.690E+01  2.250E+01    1221 A       619 A       489 A   
  12.00 keV   3.854E+01  2.165E+01    1337 A       661 A       527 A   
  13.00 keV   4.011E+01  2.088E+01    1453 A       702 A       564 A   
  14.00 keV   4.163E+01  2.017E+01    1568 A       742 A       601 A   
  15.00 keV   4.309E+01  1.951E+01    1684 A       780 A       637 A   
  16.00 keV   4.450E+01  1.891E+01    1799 A       817 A       672 A   
  17.00 keV   4.587E+01  1.834E+01    1914 A       853 A       706 A   
  18.00 keV   4.720E+01  1.782E+01    2029 A       888 A       740 A   
  20.00 keV   4.975E+01  1.686E+01    2257 A       954 A       806 A   
  22.50 keV   5.281E+01  1.583E+01    2540 A      1031 A       885 A   
  25.00 keV   5.565E+01  1.493E+01    2819 A      1103 A       960 A   
  27.50 keV   5.831E+01  1.415E+01    3094 A      1170 A      1032 A   
  30.00 keV   6.084E+01  1.345E+01    3367 A      1233 A      1101 A   
  32.50 keV   6.330E+01  1.283E+01    3635 A      1292 A      1166 A   
  35.00 keV   6.573E+01  1.227E+01    3900 A      1347 A      1229 A   
  37.50 keV   6.817E+01  1.177E+01    4162 A      1400 A      1290 A   
  40.00 keV   7.061E+01  1.131E+01    4419 A      1449 A      1348 A   
