 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 16, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/11Li_6mb_butane.txt

 Ion = Lithium [3] , Mass = 11.0438 amu

 Target Density =  1.4310E-05 g/cm3 = 2.0757E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.923E-04  6.210E-04    6.94 mm     1.87 mm     1.44 mm  
  11.00 keV   6.212E-04  5.941E-04    7.67 mm     2.02 mm     1.57 mm  
  12.00 keV   6.488E-04  5.697E-04    8.40 mm     2.16 mm     1.71 mm  
  13.00 keV   6.753E-04  5.476E-04    9.14 mm     2.30 mm     1.84 mm  
  14.00 keV   7.008E-04  5.274E-04    9.87 mm     2.43 mm     1.97 mm  
  15.00 keV   7.253E-04  5.089E-04   10.60 mm     2.56 mm     2.09 mm  
  16.00 keV   7.491E-04  4.919E-04   11.33 mm     2.68 mm     2.22 mm  
  17.00 keV   7.722E-04  4.761E-04   12.06 mm     2.81 mm     2.34 mm  
  18.00 keV   7.946E-04  4.615E-04   12.78 mm     2.92 mm     2.46 mm  
  20.00 keV   8.375E-04  4.352E-04   14.22 mm     3.15 mm     2.70 mm  
  22.50 keV   8.878E-04  4.069E-04   16.01 mm     3.41 mm     2.99 mm  
  25.00 keV   9.327E-04  3.826E-04   17.77 mm     3.65 mm     3.26 mm  
  27.50 keV   9.756E-04  3.614E-04   19.52 mm     3.88 mm     3.53 mm  
  30.00 keV   1.017E-03  3.427E-04   21.24 mm     4.10 mm     3.78 mm  
  32.50 keV   1.057E-03  3.262E-04   22.94 mm     4.30 mm     4.02 mm  
