 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 13, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/11Li_900mb_CF4_95-5.txt

 Ion = Lithium [3] , Mass = 11.0438 amu

 Target Density =  2.9667E-04 g/cm3 = 4.6688E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    088.37    030.32   
      C      6    002.33    009.53   
      F      9    009.30    060.15   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.322E-03  9.024E-03  490.09 um   145.00 um   107.83 um  
  11.00 keV   6.630E-03  8.597E-03  546.45 um   158.71 um   119.51 um  
  12.00 keV   6.925E-03  8.214E-03  603.40 um   172.16 um   131.25 um  
  13.00 keV   7.208E-03  7.871E-03  660.84 um   185.33 um   142.99 um  
  14.00 keV   7.480E-03  7.559E-03  718.66 um   198.23 um   154.73 um  
  15.00 keV   7.743E-03  7.276E-03  776.77 um   210.84 um   166.43 um  
  16.00 keV   7.997E-03  7.016E-03  835.12 um   223.18 um   178.09 um  
  17.00 keV   8.243E-03  6.777E-03  893.63 um   235.24 um   189.68 um  
  18.00 keV   8.482E-03  6.557E-03  952.26 um   247.02 um   201.20 um  
  20.00 keV   8.940E-03  6.163E-03    1.07 mm   269.95 um   224.00 um  
  22.50 keV   9.489E-03  5.742E-03    1.22 mm   297.23 um   251.93 um  
  25.00 keV   1.004E-02  5.382E-03    1.36 mm   322.91 um   279.13 um  
  27.50 keV   1.058E-02  5.071E-03    1.51 mm   347.06 um   305.53 um  
  30.00 keV   1.110E-02  4.799E-03    1.65 mm   369.80 um   331.09 um  
  32.50 keV   1.160E-02  4.558E-03    1.79 mm   391.22 um   355.82 um  
