 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 17, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/11Li_Mylar.txt

 Ion = Lithium [3] , Mass = 11.0438 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.889E+01  4.252E+01     947 A       332 A       249 A   
  11.00 keV   4.078E+01  4.075E+01    1048 A       359 A       272 A   
  12.00 keV   4.260E+01  3.913E+01    1150 A       385 A       295 A   
  13.00 keV   4.434E+01  3.767E+01    1252 A       410 A       318 A   
  14.00 keV   4.601E+01  3.632E+01    1355 A       435 A       341 A   
  15.00 keV   4.763E+01  3.509E+01    1457 A       459 A       364 A   
  16.00 keV   4.919E+01  3.395E+01    1559 A       482 A       386 A   
  17.00 keV   5.070E+01  3.289E+01    1661 A       505 A       408 A   
  18.00 keV   5.217E+01  3.191E+01    1764 A       527 A       430 A   
  20.00 keV   5.500E+01  3.014E+01    1967 A       569 A       472 A   
  22.50 keV   5.830E+01  2.823E+01    2220 A       619 A       524 A   
  25.00 keV   6.127E+01  2.658E+01    2471 A       665 A       574 A   
  27.50 keV   6.410E+01  2.514E+01    2720 A       709 A       622 A   
  30.00 keV   6.682E+01  2.387E+01    2967 A       750 A       668 A   
  32.50 keV   6.943E+01  2.274E+01    3210 A       789 A       713 A   
  35.00 keV   7.195E+01  2.172E+01    3452 A       826 A       756 A   
  37.50 keV   7.440E+01  2.081E+01    3690 A       861 A       798 A   
  40.00 keV   7.677E+01  1.998E+01    3926 A       894 A       838 A   
