 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 19, 2025 
 ==================================================================

 Disk File Name = /media/data/S2384/Calibrations/SRIM/12Li_silicon.txt

 Ion = Lithium [3] , Mass = 12.05378 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.082E+01  4.627E+01     687 A       365 A       275 A   
  11.00 keV   5.330E+01  4.483E+01     757 A       393 A       298 A   
  12.00 keV   5.567E+01  4.349E+01     826 A       421 A       320 A   
  13.00 keV   5.795E+01  4.224E+01     896 A       447 A       343 A   
  14.00 keV   6.013E+01  4.107E+01     966 A       473 A       365 A   
  15.00 keV   6.224E+01  3.998E+01    1036 A       498 A       387 A   
  16.00 keV   6.428E+01  3.895E+01    1106 A       523 A       408 A   
  17.00 keV   6.626E+01  3.797E+01    1175 A       547 A       429 A   
  18.00 keV   6.818E+01  3.706E+01    1245 A       570 A       450 A   
  20.00 keV   7.187E+01  3.538E+01    1384 A       614 A       491 A   
  22.50 keV   7.623E+01  3.351E+01    1557 A       667 A       541 A   
  25.00 keV   8.044E+01  3.186E+01    1729 A       717 A       588 A   
  27.50 keV   8.458E+01  3.039E+01    1899 A       763 A       634 A   
  30.00 keV   8.848E+01  2.908E+01    2067 A       808 A       679 A   
  32.50 keV   9.216E+01  2.789E+01    2233 A       849 A       722 A   
  35.00 keV   9.562E+01  2.681E+01    2398 A       889 A       763 A   
  37.50 keV   9.885E+01  2.582E+01    2562 A       927 A       803 A   
  40.00 keV   1.019E+02  2.491E+01    2724 A       963 A       842 A   
  45.00 keV   1.073E+02  2.331E+01    3044 A      1031 A       916 A   
