 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> xullo 19, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17O_silicon.txt

 Ion = Oxygen [8] , Mass = 16,99474 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999,999 eV    2,990E+01  1,435E+02      44 A        32 A        23 A   
   1,10 keV   3,136E+01  1,468E+02      47 A        33 A        24 A   
   1,20 keV   3,276E+01  1,497E+02      49 A        35 A        25 A   
   1,30 keV   3,409E+01  1,523E+02      52 A        37 A        27 A   
   1,40 keV   3,538E+01  1,547E+02      55 A        39 A        28 A   
   1,50 keV   3,662E+01  1,568E+02      58 A        40 A        29 A   
   1,60 keV   3,782E+01  1,588E+02      61 A        42 A        30 A   
   1,70 keV   3,899E+01  1,605E+02      63 A        44 A        32 A   
   1,80 keV   4,012E+01  1,622E+02      66 A        45 A        33 A   
   2,00 keV   4,229E+01  1,651E+02      72 A        48 A        35 A   
   2,25 keV   4,485E+01  1,681E+02      78 A        52 A        38 A   
   2,50 keV   4,728E+01  1,706E+02      85 A        56 A        41 A   
   2,75 keV   4,959E+01  1,727E+02      91 A        59 A        43 A   
   3,00 keV   5,179E+01  1,745E+02      97 A        63 A        46 A   
   3,25 keV   5,391E+01  1,759E+02     104 A        67 A        48 A   
   3,50 keV   5,594E+01  1,772E+02     110 A        70 A        51 A   
   3,75 keV   5,791E+01  1,782E+02     116 A        73 A        53 A   
   4,00 keV   5,981E+01  1,790E+02     123 A        77 A        56 A   
   4,50 keV   6,343E+01  1,803E+02     135 A        83 A        61 A   
   5,00 keV   6,686E+01  1,812E+02     147 A        90 A        65 A   
