 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 13, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/proton_900mb_CF4_95-5.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.9667E-04 g/cm3 = 4.6688E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    088.37    030.32   
      C      6    002.33    009.53   
      F      9    009.30    060.15   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.902E-02  2.037E-04  708.33 um   140.10 um   152.70 um  
  11.00 keV   1.991E-02  1.900E-04  756.44 um   143.24 um   157.78 um  
  12.00 keV   2.073E-02  1.781E-04  802.80 um   146.03 um   162.41 um  
  13.00 keV   2.151E-02  1.678E-04  847.63 um   148.54 um   166.67 um  
  14.00 keV   2.223E-02  1.588E-04  891.11 um   150.82 um   170.61 um  
  15.00 keV   2.291E-02  1.507E-04  933.39 um   152.90 um   174.28 um  
  16.00 keV   2.355E-02  1.436E-04  974.60 um   154.81 um   177.71 um  
  17.00 keV   2.414E-02  1.371E-04    1.01 mm   156.58 um   180.93 um  
  18.00 keV   2.470E-02  1.313E-04    1.05 mm   158.23 um   183.96 um  
  20.00 keV   2.573E-02  1.211E-04    1.13 mm   161.37 um   189.57 um  
  22.50 keV   2.686E-02  1.105E-04    1.22 mm   164.91 um   195.85 um  
  25.00 keV   2.786E-02  1.019E-04    1.31 mm   168.02 um   201.50 um  
  27.50 keV   2.873E-02  9.454E-05    1.40 mm   170.79 um   206.64 um  
  30.00 keV   2.951E-02  8.829E-05    1.48 mm   173.30 um   211.36 um  
  32.50 keV   3.019E-02  8.288E-05    1.56 mm   175.60 um   215.75 um  
