 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 02, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/3H_900mb_CF4_95-05.txt

 Ion = Hydrogen [1] , Mass = 3.016049 amu

 Target Density =  2.9667E-04 g/cm3 = 4.6690E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    088.37    030.32   
      C      6    002.33    009.53   
      F      9    009.30    060.15   
 ====================================
 Bragg Correction = -4.14%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.060E-02  5.594E-04    1.05 mm   224.83 um   237.11 um  
  11.00 keV   1.111E-02  5.227E-04    1.13 mm   232.58 um   248.36 um  
  12.00 keV   1.160E-02  4.911E-04    1.21 mm   239.54 um   258.71 um  
  13.00 keV   1.207E-02  4.634E-04    1.29 mm   245.83 um   268.29 um  
  14.00 keV   1.253E-02  4.391E-04    1.36 mm   251.55 um   277.19 um  
  15.00 keV   1.297E-02  4.174E-04    1.43 mm   256.79 um   285.50 um  
  16.00 keV   1.339E-02  3.980E-04    1.50 mm   261.61 um   293.27 um  
  17.00 keV   1.380E-02  3.805E-04    1.57 mm   266.05 um   300.58 um  
  18.00 keV   1.420E-02  3.647E-04    1.64 mm   270.18 um   307.46 um  
  20.00 keV   1.497E-02  3.370E-04    1.76 mm   277.86 um   320.13 um  
  22.50 keV   1.587E-02  3.083E-04    1.92 mm   286.31 um   334.22 um  
  25.00 keV   1.671E-02  2.845E-04    2.06 mm   293.59 um   346.75 um  
  27.50 keV   1.751E-02  2.645E-04    2.20 mm   299.97 um   358.00 um  
  30.00 keV   1.826E-02  2.473E-04    2.33 mm   305.63 um   368.20 um  
  32.50 keV   1.897E-02  2.324E-04    2.46 mm   310.68 um   377.50 um  
