 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 02, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/3He_900mb_CF4_95-05.txt

 Ion = Helium [2] , Mass = 3.016029 amu

 Target Density =  2.9667E-04 g/cm3 = 4.6690E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    088.37    030.32   
      C      6    002.33    009.53   
      F      9    009.30    060.15   
 ====================================
 Bragg Correction = -4.14%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.008E-02  1.748E-03  762.26 um   240.16 um   225.86 um  
  11.00 keV   1.060E-02  1.643E-03  832.07 um   253.57 um   241.47 um  
  12.00 keV   1.110E-02  1.552E-03  900.30 um   265.92 um   256.17 um  
  13.00 keV   1.158E-02  1.471E-03  967.00 um   277.34 um   270.04 um  
  14.00 keV   1.205E-02  1.400E-03    1.03 mm   287.92 um   283.16 um  
  15.00 keV   1.250E-02  1.336E-03    1.10 mm   297.77 um   295.60 um  
  16.00 keV   1.294E-02  1.278E-03    1.16 mm   306.97 um   307.41 um  
  17.00 keV   1.336E-02  1.226E-03    1.22 mm   315.57 um   318.65 um  
  18.00 keV   1.378E-02  1.179E-03    1.28 mm   323.64 um   329.37 um  
  20.00 keV   1.458E-02  1.095E-03    1.40 mm   338.52 um   349.39 um  
  22.50 keV   1.553E-02  1.007E-03    1.54 mm   354.97 um   372.11 um  
  25.00 keV   1.643E-02  9.344E-04    1.67 mm   369.39 um   392.65 um  
  27.50 keV   1.730E-02  8.722E-04    1.80 mm   382.17 um   411.37 um  
  30.00 keV   1.812E-02  8.187E-04    1.93 mm   393.57 um   428.51 um  
  32.50 keV   1.875E-02  7.720E-04    2.05 mm   403.90 um   444.37 um  
