 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> xullo 25, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\8Li_silicon.txt

 Ion = Lithium [3] , Mass = 8,0208 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999,999 eV    1,862E+01  4,342E+01      82 A        71 A        54 A   
   1,10 keV   1,953E+01  4,373E+01      89 A        76 A        58 A   
   1,20 keV   2,039E+01  4,396E+01      96 A        81 A        61 A   
   1,30 keV   2,123E+01  4,413E+01     103 A        86 A        65 A   
   1,40 keV   2,203E+01  4,425E+01     109 A        91 A        68 A   
   1,50 keV   2,280E+01  4,433E+01     116 A        96 A        72 A   
   1,60 keV   2,355E+01  4,437E+01     123 A       101 A        75 A   
   1,70 keV   2,427E+01  4,439E+01     129 A       106 A        78 A   
   1,80 keV   2,498E+01  4,437E+01     136 A       111 A        81 A   
   2,00 keV   2,633E+01  4,428E+01     150 A       119 A        88 A   
   2,25 keV   2,793E+01  4,408E+01     166 A       130 A        97 A   
   2,50 keV   2,944E+01  4,381E+01     183 A       141 A       105 A   
   2,75 keV   3,087E+01  4,349E+01     200 A       152 A       113 A   
   3,00 keV   3,225E+01  4,314E+01     216 A       162 A       121 A   
   3,25 keV   3,356E+01  4,276E+01     233 A       172 A       128 A   
   3,50 keV   3,483E+01  4,237E+01     250 A       182 A       136 A   
   3,75 keV   3,605E+01  4,197E+01     267 A       192 A       143 A   
   4,00 keV   3,723E+01  4,156E+01     284 A       202 A       151 A   
   4,50 keV   3,949E+01  4,074E+01     318 A       221 A       166 A   
   5,00 keV   4,163E+01  3,992E+01     352 A       240 A       180 A   
