 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 19, 2025 
 ==================================================================

 Disk File Name = /media/data/S2384/Calibrations/SRIM/9Li_900mb_CF4_95-5.txt

 Ion = Lithium [3] , Mass = 9.02679 amu

 Target Density =  2.9667E-04 g/cm3 = 6.0820E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    088.37    030.32   
      C      6    002.33    009.53   
      F      9    009.30    060.15   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.871E-03  1.350E-02  345.01 um    97.68 um    75.07 um  
  11.00 keV   9.304E-03  1.289E-02  384.06 um   106.62 um    82.88 um  
  12.00 keV   9.718E-03  1.234E-02  423.52 um   115.40 um    90.70 um  
  13.00 keV   1.011E-02  1.185E-02  463.34 um   123.99 um    98.52 um  
  14.00 keV   1.050E-02  1.140E-02  503.44 um   132.41 um   106.34 um  
  15.00 keV   1.086E-02  1.098E-02  543.78 um   140.64 um   114.13 um  
  16.00 keV   1.122E-02  1.060E-02  584.29 um   148.71 um   121.90 um  
  17.00 keV   1.157E-02  1.026E-02  624.94 um   156.59 um   129.62 um  
  18.00 keV   1.190E-02  9.932E-03  665.69 um   164.30 um   137.29 um  
  20.00 keV   1.260E-02  9.351E-03  747.30 um   179.31 um   152.48 um  
  22.50 keV   1.343E-02  8.728E-03  849.09 um   197.14 um   171.07 um  
  25.00 keV   1.423E-02  8.194E-03  950.32 um   213.90 um   189.16 um  
  27.50 keV   1.500E-02  7.730E-03    1.05 mm   229.66 um   206.71 um  
  30.00 keV   1.575E-02  7.323E-03    1.15 mm   244.51 um   223.70 um  
  32.50 keV   1.648E-02  6.963E-03    1.25 mm   258.51 um   240.13 um  
