# run  meanQave  sigmaQave
19  80.2834  16.677
20  81.152  14.0456
21  77.5548  14.2467
22  80.4905  14.1697
23  82.4282  15.8869
24  81.6039  14.5832
26  83.2082  14.9635
27  83.7789  18.8856
28  81.9938  16.0866
29  84.943  16.6217
30  83.9931  16.3152
31  83.1885  16.9621
32  81.8286  14.9984
33  81.8568  15.5942
34  82.0458  14.7509
36  82.0311  16.1925
37  81.2131  15.0191
38  79.9051  13.2829
39  82.5953  17.2044
40  80.3107  15.0101
41  83.4505  15.3473
42  83.8261  17.192
43  86.979  17.5953
44  80.8418  13.3539
45  83.6038  16.0496
46  82.0165  14.5487
47  82.499  13.3633
48  84.8682  15.2615
49  83.9369  16.1254
50  82.2668  15.3161
51  80.9273  15.1474
52  81.8067  16.4672
53  80.0575  13.7516
54  82.7852  17.6127
55  83.3304  13.9608
56  83.39  15.3351
57  83.1775  15.3296
59  85.7919  18.173
60  83.5109  16.7343
61  83.4191  17.2158
62  81.7948  15.179
63  81.8369  15.9456
64  82.7722  16.0677
65  80.7541  16.2463
66  83.828  18.1454
67  85.6938  18.2861
69  84.6998  15.8463
70  83.4764  17.5882
71  83.6568  18.6214
72  84.9256  19.6122
73  82.4658  19.9591
74  83.0493  18.9863
75  85.3421  19.6603
76  81.3852  16.0313
77  85.8096  19.7033
78  84.0949  18.4082
79  83.3083  18.1094
80  86.8062  18.6764
81  84.7568  19.6365
82  89.0816  20.2917
95  82.4445  16.1841
96  80.7885  15.0431
97  83.1145  17.0697
98  83.0511  16.469
99  84.2365  19.682
100  86.8699  18.4263
101  82.9021  16.9836
102  87.3144  17.0671
103  81.7535  18.1454
104  82.9011  16.477
105  82.0085  16.9625
106  81.3972  16.7088
107  82.9486  18.1448
108  83.4328  16.3895
109  83.2254  18.4542
110  81.7871  16.9527
111  83.3009  17.3919
112  80.1093  15.7224
113  81.424  15.1287
114  82.8201  16.5202
115  82.1543  16.4285
116  81.2086  17.0419
117  83.6005  15.9306
118  85.1512  18.8027
119  85.785  19.0666
120  82.8684  16.6253
121  82.7259  15.2134
122  81.9204  16.1474
