run,entry,type,status
60,69,Other,False
60,150,Other,False
60,305,Binary,True
60,349,Other,False
60,357,Binary,True
60,386,Other,False
60,434,Other,False
60,456,Binary,True
60,755,Other,False
60,786,Other,False
60,851,Other,False
60,927,Other,False
60,1143,Other,False
60,1245,Other,False
60,1294,Other,False
60,1321,Other,False
60,1611,Binary,True
60,1636,Other,False
60,1749,Binary,True
60,1865,Binary,True
60,1897,Binary,True
60,2064,Other,False
60,2123,Multi,True
60,2144,Binary,True
60,2310,Binary,True
60,2542,Other,False
60,2565,Other,False
60,2645,Binary,True
60,2761,Other,False
60,2778,Other,False
60,2914,Other,False
60,3002,Other,False
60,3121,Other,False
60,3140,Other,False
60,3147,Other,False
60,3583,Multi,False
60,3726,Multi,True
60,3774,Binary,True
60,3867,Binary,True
60,4079,Other,False
60,4081,Other,False
60,4337,Other,False
60,4371,Other,False
60,4415,Other,False
60,4550,Other,False
60,4581,Other,False
60,4618,Binary,True
60,4648,Other,False
60,4659,Other,False
60,4743,Other,False
60,4762,Other,False
60,4861,Multi,True
60,4874,Other,False
60,4912,Other,False
60,4928,Other,False
60,5133,Other,False
60,5151,Binary,True
60,5169,Other,False
60,5211,Other,False
60,5232,Other,False
60,5325,Binary,True
60,5890,Other,False
60,5946,Other,False
60,6002,Other,False
60,6104,Binary,True
60,6273,Other,False
60,6428,Other,False
60,6561,Other,False
60,6652,Binary,True
60,6675,Other,False
60,6677,Other,False
60,6759,Other,False
60,6839,Other,False
60,7217,Other,False
60,7356,Other,False
60,7716,Binary,True
60,7807,Other,False
60,7883,Binary,True
60,8012,Binary,True
60,8080,Other,False
60,8291,Other,False
60,8302,Other,False
60,8366,Other,False
60,8432,Binary,True
60,8509,Binary,True
60,8524,Multi,True
60,8526,Other,False
60,8550,Binary,True
60,8616,Other,False
60,8770,Binary,True
60,8868,Other,False
60,8886,Binary,True
60,8892,Other,False
60,9238,Binary,False
60,9290,Other,False
60,9305,Multi,False
60,9438,Binary,True
60,9459,Multi,False
60,9498,Binary,True
60,9544,Binary,True
60,9637,Other,False
60,9795,Binary,True
60,9804,Other,False
60,9917,Other,False
60,10024,Other,False
60,10177,Other,False
60,10422,Other,False
60,10435,Other,False
60,10472,Multi,True
60,10613,Other,False
60,10634,Other,False
60,10697,Binary,True
60,10751,Other,False
60,10802,Other,False
60,10918,Binary,True
60,11028,Other,False
60,11150,Binary,True
60,11183,Binary,True
60,11241,Other,False
60,11294,Binary,True
60,11372,Other,False
60,11407,Binary,True
60,11418,Other,False
60,11488,Other,False
60,11559,Multi,True
60,11775,Binary,True
60,11784,Binary,True
60,11998,Multi,False
60,12002,Other,False
60,12040,Other,False
60,12099,Binary,True
60,12133,Other,False
60,12215,Binary,True
60,12305,Multi,False
60,12492,Binary,True
60,12741,Binary,True
60,12999,Binary,True
60,13081,Other,False
60,13409,Other,False
60,13522,Other,False
60,13831,Binary,True
60,13955,Other,False
60,14165,Other,False
60,14261,Multi,False
60,14356,Other,False
60,14397,Other,False
60,14409,Binary,True
60,14490,Binary,True
60,14721,Other,False
60,15102,Other,False
60,15303,Other,False
60,15431,Other,False
60,15745,Other,False
60,15784,Other,False
60,15834,Other,False
60,15842,Other,False
60,15950,Other,False
60,16126,Binary,True
60,16248,Binary,True
60,16339,Other,False
60,16420,Other,False
60,16611,Other,False
60,16625,Binary,False
60,16669,Other,False
60,16827,Other,False
60,16831,Other,False
60,16857,Other,False
60,17157,Other,False
60,17237,Other,False
60,17304,Other,False
60,17359,Binary,True
60,17459,Other,False
60,17668,Other,False
60,17678,Other,False
60,17775,Other,False
60,17842,Multi,False
60,17989,Binary,True
60,18068,Other,False
60,18198,Binary,False
60,18206,Binary,True
60,18369,Binary,False
60,18372,Other,False
60,18380,Other,False
60,18434,Other,False
60,18487,Other,False
60,18707,Other,False
60,18989,Other,False
60,19041,Other,False
60,19175,Other,False
60,19219,Other,False
60,19257,Other,False
60,19335,Other,False
60,19356,Binary,True
60,19444,Binary,True
60,19562,Other,False
60,19578,Other,False
60,19625,Binary,True
60,19710,Other,False
60,19731,Other,False
60,19974,Other,False
60,19978,Other,False
60,20027,Binary,True
60,20110,Other,False
60,20226,Other,False
60,20239,Other,False
60,20357,Other,False
60,20578,Other,False
60,21039,Other,False
60,21223,Other,False
60,21466,Other,False
60,21490,Other,False
60,21507,Other,False
60,21538,Other,False
60,21562,Other,False
60,21619,Other,False
60,21626,Binary,True
60,21741,Other,False
60,21875,Other,False
60,21901,Binary,True
60,22167,Other,False
60,22200,Multi,True
60,22240,Other,False
60,22308,Binary,True
60,22364,Other,False
60,22406,Other,False
60,22615,Binary,True
60,22631,Other,False
60,22739,Other,False
60,23257,Other,False
60,23405,Other,False
60,23570,Other,False
60,23659,Other,False
60,23868,Binary,True
60,23886,Other,False
60,23954,Other,False
60,24004,Binary,True
60,24085,Other,False
60,24226,Other,False
60,24323,Other,False
60,24393,Multi,False
60,24407,Other,False
60,24459,Other,False
60,24749,Other,False
60,24857,Other,False
60,24973,Other,False
60,25035,Other,False
60,25085,Binary,True
60,25181,Multi,True
60,25192,Other,False
60,25425,Other,False
60,25675,Binary,True
60,25751,Multi,True
60,25937,Binary,True
60,26030,Binary,True
60,26062,Other,False
60,26069,Binary,False
60,26104,Other,False
60,26346,Multi,True
60,26504,Other,False
60,26518,Other,False
60,26544,Binary,True
60,26671,Binary,True
60,26688,Other,False
60,26717,Other,False
60,27017,Binary,True
60,27138,Other,False
60,27474,Multi,True
60,27651,Binary,True
60,27680,Other,False
60,27815,Binary,True
60,27880,Other,False
60,27983,Other,False
60,28128,Other,False
60,28324,Other,False
60,28772,Binary,True
60,28783,Other,False
60,28832,Other,False
60,28857,Binary,True
60,28863,Binary,True
60,28947,Other,False
60,29068,Binary,True
60,29245,Binary,True
60,29336,Other,False
60,29342,Other,False
60,29389,Other,False
60,29394,Other,False
60,29867,Binary,True
60,29880,Multi,False
60,29990,Multi,False
60,30206,Other,False
60,30360,Binary,True
60,30642,Other,False
60,30671,Other,False
60,30706,Other,False
60,30844,Other,False
60,30915,Binary,True
60,30983,Other,False
60,31061,Other,False
60,31078,Other,False
60,31147,Binary,True
60,31181,Other,False
60,31265,Other,False
60,31597,Other,False
60,31619,Other,False
60,31635,Other,False
60,32033,Other,False
60,32036,Other,False
60,32079,Binary,True
60,32155,Other,False
60,32204,Binary,True
60,32327,Binary,True
60,32437,Other,False
60,32813,Other,False
60,33043,Other,False
60,33234,Other,False
60,33249,Other,False
60,33254,Binary,True
60,33698,Other,False
60,33799,Binary,True
60,33985,Other,False
60,34051,Other,False
60,34059,Other,False
60,34076,Other,False
60,34080,Other,False
60,34138,Other,False
60,34460,Binary,True
60,34551,Other,False
60,34695,Binary,True
60,34714,Other,False
60,34720,Binary,True
60,34952,Binary,True
60,35043,Multi,True
60,35077,Other,False
60,35122,Binary,True
60,35301,Other,False
60,35382,Binary,True
60,35413,Other,False
60,35483,Other,False
60,35560,Other,False
60,35704,Binary,True
60,35729,Binary,True
60,35815,Other,False
60,35823,Binary,True
60,36070,Other,False
60,36081,Other,False
60,36232,Other,False
60,36342,Binary,True
60,36366,Other,False
60,36471,Other,False
60,36602,Other,False
60,36615,Other,False
60,36799,Other,False
60,36932,Other,False
60,36995,Binary,True
60,37129,Binary,True
60,37156,Other,False
60,37358,Other,False
60,37431,Binary,True
60,37442,Other,False
60,37712,Other,False
60,37936,Binary,True
60,37941,Other,False
60,38241,Other,False
60,38511,Other,False
60,38569,Other,False
60,38773,Other,False
60,38789,Binary,True
60,38842,Binary,True
60,38991,Multi,True
60,39145,Other,False
60,39257,Binary,True
60,39329,Binary,True
60,39487,Binary,True
60,39577,Other,False
60,39599,Other,False
60,39620,Other,False
60,39644,Other,False
60,39994,Other,False
60,40036,Other,False
60,40171,Other,False
60,40247,Multi,True
60,40280,Other,False
60,40423,Binary,True
60,40867,Other,False
60,40926,Other,False
60,40939,Other,False
60,40946,Other,False
60,41006,Binary,True
60,41198,Other,False
60,41311,Binary,True
60,41361,Multi,True
60,41365,Other,False
60,41451,Other,False
60,41457,Other,False
60,41467,Other,False
60,41528,Other,False
60,41677,Binary,True
60,41744,Other,False
60,41987,Other,False
60,42163,Other,False
60,42193,Other,False
60,42258,Binary,True
60,42564,Other,False
60,42572,Binary,True
60,42643,Other,False
60,42917,Binary,True
60,42945,Other,False
60,43285,Multi,True
60,43397,Other,False
60,43427,Other,False
60,43465,Binary,True
60,43549,Other,False
60,43556,Other,False
60,43642,Binary,True
60,43698,Binary,True
60,43723,Binary,False
60,43726,Other,False
60,43881,Other,False
60,43909,Other,False
60,44035,Binary,True
60,44097,Binary,False
60,44178,Other,False
60,44390,Other,False
60,44451,Other,False
60,44484,Other,False
60,44750,Other,False
60,44756,Binary,True
60,44839,Other,False
60,44861,Other,False
60,44864,Other,False
60,44896,Other,False
60,44927,Other,False
60,44997,Multi,True
60,45076,Binary,True
60,45092,Binary,True
60,45192,Binary,True
60,45203,Other,False
60,45409,Other,False
60,45411,Other,False
60,45694,Other,False
60,45750,Binary,True
60,45798,Binary,True
60,46115,Binary,True
60,46185,Binary,True
60,46249,Other,False
60,46528,Other,False
60,46577,Other,False
60,46750,Multi,True
60,46962,Other,False
60,47032,Other,False
60,47309,Other,False
60,47411,Other,False
60,47529,Other,False
60,47751,Binary,True
60,47825,Multi,True
60,47950,Binary,True
60,48085,Other,False
60,48202,Other,False
60,48225,Multi,True
60,48260,Binary,True
60,48367,Other,False
60,48431,Other,False
60,48510,Other,False
60,48521,Other,False
60,48558,Other,False
60,48809,Other,False
60,48836,Other,False
60,48892,Other,False
60,49095,Other,False
60,49149,Binary,True
60,49596,Other,False
60,49640,Other,False
60,49697,Other,False
